campus,state,exam_1,exam_2,exam_3,exam_4,midterm,final,exam_count
Austin Community College,TX,1-7,8-11,2-14,,,,3
Ball State University,IN,1-2,3-4,5-6,7-8,,,4
Bradley University,IL,1-4,5-8,9-12,,,,3
Cerritos College,CA,13-15,16-18,19-21,10-13,,,4
CUNY-Brooklyn College,NY,8-9,10-12,6-14,8-8,,,4
Dakota College at Bottineau,ND,14-14,16-16,18-18,20-20,,,4
De Anza College,CA,1-4,,,,5-7,1-9,1
Doane University,NE,1-5,7-10,11-16,,,,3
Drexel University,PA,1-3,4-5,6-7,,,1-10,3
Eastern Illinois Univ,IL,1-5,6-9,,,,11-14,2
Florida Atlantic University,FL,1-8,9-16,,,,,2
Florida Gulf Coast University,FL,1-16,4-6,7-11,,,,3
Florida State College at Jacksonville,FL,1-4,5-8,9-13,,,,3
George Mason University,VA,1-18,1-3,1-9,,,,3
Gustavus Adolphus College,,1-6,7-19,,,,1-19,2
James Madison University,VA,1-16,6-9,10-13,,7-11,,3
King's College - Pennsylvania,PA,1-7,,,,,,1
Louisiana State University,LA,1-5,5-8,,,,1-15,2
New York University,NY,1-4,6-9,,,1-4,1-12,2
North Central Texas College,TX,1-4,5-8,9-12,13-15,,,4
Oral Roberts University,OK,1-4,5-8,10-16,15-18,,,4
Prairie View A&M University,TX,1-4,6-9,9-12,,1-5,1-10,3
Rice University,TX,1-4,5-11,9-12,,,,3
Stephen F. Austin State University,TX,1-3,4-6,7-9,23-24,,1-13,4
Sul Ross State University,TX,1-4,5-7,8-11,12-14,,,4
Tennessee State University,TN,1-8,,16-19,,9-15,1-23,2
Texas A&M Univ-Texarkana,TX,7-8,9-10,11-16,12-13,,,4
The University of Texas at Arlington,TX,1-3,4-6,8-9,11-13,,1-15,4
The University of Texas at Austin,TX,1-13,6-9,,,,1-12,2
Univ No Carolina Greensboro,NC,1-3,4-6,7-9,10-12,,1-10,4
Univ of California-Davis,CA,1-7,,,,13-16,1-9,1
Univ of Hawaii at Manoa,HI,1-3,4-6,7-16,,,,3
University of Akron,OH,1-3,5-8,9-12,11-13,,1-13,4
University of Arkansas,AR,1-24,6-19,7-8,9-10,,1-24,4
University of Florida,FL,1-5,6-10,11-14,,,,3
University of Maine,ME,1-4,5-8,,,,9-13,2
University of Montana,MT,8-14,5-8,9-13,,,15-21,3
"University of Nevada, Las Vegas",NV,1-3,4-7,8-11,,,,3
University of North Carolina at Charlotte,NC,1-4,5-7,8-12,,,,3
University of North Dakota Grand,ND,1-4,6-10,9-12,,,,3
University of North Georgia,GA,1-2,3-4,5-6,8-9,,1-12,4
University of South Carolina,SC,1-7,5-9,,,,1-11,2
University of Texas at El Paso,TX,13-14,15-17,20-25,22-23,1-5,1-9,4
University of Toronto,ON,1-12,1-12,,,,,2
University of Utah Salt Lake,UT,1-3,4-8,9-11,,1-5,1-13,3
Washburn University,KS,1-13,1-13,,,6-11,1-12,2
Western Kentucky University,KY,1-4,5-7,8-10,10-13,,14-16,4
Yeshiva University New,NY,1-4,5-8,9-10,,,,3
Carleton University,ON,,,,,1-6,1-11,0
College of the Redwoods,CA,,,,,,10-11,0
Florida International University,FL,,,,,,,0
George Brown College,ON,,,,,3-3,1-8,0
Liberty University,VA,,,,,,,0
McMaster University,ON,,,,,1-9,5-10,0
Northern Arizona University,AZ,,,,,,1-12,0
Penn State Abington,PA,,,,,1-4,5-11,0
Penn State Berks,PA,,,,,1-4,5-11,0
Penn State Brandywine,PA,,,,,1-8,11-23,0
Penn State New Kensington,PA,,,,,1-4,5-11,0
Penn State York,PA,,,,,1-4,5-11,0
Salisbury University,MD,,,,,8-14,11-17,0
"University of California, Los Angeles",CA,,,,,1-6,4-13,0
University of New Orleans New,LA,,,,,1-7,,0
University of Wisconsin–Milwaukee,WI,,,,,6-10,11-14,0
Uof Arkansas at Monticello,AR,,,,,,,0
Utah Tech University,UT,,,,,,,0
Virginia Commonwealth,VA,,,,,,,0
Wayland Baptist University,TX,,,,,1-5,6-11,0
