Institution,Has Fraternity,Has Sorority,% Fraternity,% Sorority,Greek Eligibility
Washington and Lee University,Y,Y,72,72,eligible
The College of Wooster,Y,Y,35,65,eligible
Wake Forest University,Y,Y,28,65,eligible
Texas Christian University,Y,Y,46,59,eligible
Wabash College,Y,N,59,,eligible
Centre College,Y,Y,52,53,eligible
Tulane University of Louisiana,Y,Y,32,53,eligible
Wofford College,Y,Y,34,50,eligible
DePauw University,Y,Y,49,44,eligible
Hanover College,Y,Y,45,31,eligible
Bucknell University,Y,Y,31,43,eligible
Duke University,Y,Y,30,42,eligible
Davidson College,Y,Y,22,40,eligible
Elon University,Y,Y,20,39,eligible
Colgate University,Y,Y,30,38,eligible
Butler University,Y,Y,27,35,eligible
Creighton University,Y,Y,24,34,eligible
Dartmouth College,Y,Y,33,33,eligible
Denison University,Y,Y,20,33,eligible
Pepperdine University,Y,Y,22,33,eligible
University of Nebraska-Lincoln,Y,Y,29,33,eligible
Chapman University,Y,Y,23,32,eligible
Gettysburg College,Y,Y,28,31,eligible
Miami University-Oxford,Y,Y,23,31,eligible
The University of Tampa,Y,Y,19,30,eligible
Rose-Hulman Institute of Technology,Y,Y,29,29,eligible
Cornell College,Y,Y,20,28,eligible
Kenyon College,Y,Y,20,28,eligible
Worcester Polytechnic Institute,Y,Y,22,27,eligible
College of William and Mary,Y,Y,24,26,eligible
Lehigh University,Y,Y,18,25,eligible
Muhlenberg College,Y,Y,19,25,eligible
Loyola Marymount University,Y,Y,17,25,eligible
Stanford University,Y,Y,21,25,eligible
College of Charleston,Y,Y,21,24,eligible
Dickinson College,Y,Y,8,24,eligible
Georgia Institute of Technology,Y,Y,20,24,eligible
Ohio Wesleyan University,Y,Y,24,16,eligible
Missouri University of Science and Technology,Y,Y,19,24,eligible
Rollins College,Y,Y,16,24,eligible
University of Kansas,Y,Y,15,24,eligible
Emory University,Y,Y,23,21,eligible
Hillsdale College,Y,Y,17,23,eligible
St. Lawrence University,Y,Y,9,23,eligible
University of Denver,Y,Y,23,20,eligible
Allegheny College,Y,Y,15,22,eligible
Johns Hopkins University,Y,Y,22,13,eligible
Mercer University,Y,Y,22,21,eligible
SUNY College at Geneseo,Y,Y,14,22,eligible
Truman State University,Y,Y,22,17,eligible
University of Puget Sound,Y,Y,22,14,eligible
Colorado School of Mines,Y,Y,13,21,eligible
Duquesne University,Y,Y,15,21,eligible
Illinois Wesleyan University,Y,Y,17,21,eligible
The College of New Jersey,Y,Y,21,16,eligible
Hope College,Y,Y,14,20,eligible
Grove City College,Y,Y,17,20,eligible
Villanova University,Y,Y,9,20,eligible
Bentley University,Y,Y,11,19,eligible
Franklin and Marshall College,Y,Y,3,19,eligible
