target_tier,target_score,campus,state,course_code,greek_pct,greek_chapters,greek_elig,live_picker,doc_confirmed_profs,doc_likely_profs,exam1_chapters,textbook,syllabus,documents,high_value,market_priority,intel_status,recommended_action
A,128,Louisiana State University,LA,ACCT 2001,41,45,eligible,Y,1,2,1-5,Y,Y,14,0,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,117,University of Florida,FL,ACG 2021,43,63,eligible,Y,1,0,1-5,,Y,20,2,,NEEDS_REVIEW,TARGET NOW — strong Greek + prof + exam map
A,113,University of Arkansas,AR,ACCT 2013,64,49,eligible,Y,0,4,1-24,Y,Y,14,0,,COMPLETE,HIGH — strong Greek + course intel; outreach
A,108,University of South Carolina,SC,ACCT 225,66,65,eligible,Y,0,2,1-7,Y,Y,20,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
A,98,The University of Texas at Austin,TX,ACC 311,31,,eligible,,1,10,1-13,Y,Y,14,0,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,95,University of Georgia,GA,ACCT 2101,57,67,eligible,Y,3,3,,,Y,8,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
A,95,University of Kentucky,KY,ACC 201,48,57,eligible,Y,2,0,,,Y,18,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
A,89,Ball State University,IN,ACC 201,,28,,,3,0,1-2,Y,Y,8,1,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,89,Florida Atlantic University,FL,ACG 2021,18,27,eligible,,1,2,1-8,Y,Y,13,1,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,88,De Anza College,CA,ACCT 1A,,29,,,4,5,1-4,Y,Y,25,0,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,88,Western Kentucky University,KY,ACCT 200,,33,,,1,6,1-4,Y,Y,23,0,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,88,Austin Community College,TX,ACCT 2301,,58,,,1,12,1-7,Y,Y,16,0,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,83,Stephen F. Austin State University,TX,ACCT 2301,,33,,,2,5,1-6,Y,Y,9,0,,NEEDS_REVIEW,TARGET NOW — strong Greek + prof + exam map
A,80,New York University,NY,ACCT-UB 1,9,16,eligible,,8,3,1-4,Y,Y,12,0,,COMPLETE,TARGET NOW — strong Greek + prof + exam map
A,76,University of Texas at El Paso,TX,ACCT 2301,,10,,,3,6,1-4,Y,Y,15,0,,NEEDS_REVIEW,TARGET NOW — strong Greek + prof + exam map
A,75,Gustavus Adolphus College,,B/E 110,24,3,eligible,,1,2,1-6,,Y,15,0,,NEEDS_REVIEW,TARGET NOW — strong Greek + prof + exam map
A,75,Florida State College at Jacksonville,FL,,43,,eligible,,1,0,1-4,,Y,10,0,,NEEDS_REVIEW,TARGET NOW — strong Greek + prof + exam map
B,74,James Madison University,VA,COB 241,,46,,,0,4,1-16,Y,Y,9,1,,COMPLETE,HIGH — strong Greek + course intel; outreach
B,73,Univ No Carolina Greensboro,NC,ACC 201,,,,,1,1,1-3,Y,Y,9,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,73,Oral Roberts University,OK,ACT 215,,,,,1,4,1-4,Y,Y,11,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,73,King's College - Pennsylvania,PA,ACCT 115,,,,,1,16,1-7,Y,Y,25,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,73,Cerritos College,CA,ACCT 101,,36,,,0,4,13-15,Y,Y,17,0,,COMPLETE,HIGH — strong Greek + course intel; outreach
B,71,Texas A&M University,TX,ACCT 229,,63,eligible,Y,0,2,,,Y,15,1,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,70,University of Mississippi,MS,ACCY 201,91,37,eligible,Y,0,0,,,Y,9,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,70,Mississippi State University,MS,ACC 2013,49,43,eligible,Y,0,0,,,Y,19,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,70,Vanderbilt University,TN,BUS 1100,52,39,eligible,Y,0,0,,,Y,9,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,70,"University of Tennessee, Knoxville",TN,ACCT 200,57,59,eligible,Y,0,0,,,Y,11,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,67,Doane University,NE,ACC 103,,20,,,0,4,1-12,Y,Y,12,1,,COMPLETE,HIGH — strong Greek + course intel; outreach
B,67,University of Oklahoma,OK,ACCT 2113,59,55,eligible,Y,0,0,,,,21,2,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,66,The University of Texas at Arlington,TX,ACCT 2301,,21,,,0,3,1-3,Y,Y,7,0,,COMPLETE,HIGH — strong Greek + course intel; outreach
B,65,Auburn University,AL,ACCT 2110,74,56,eligible,Y,0,0,,,,11,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,65,University of Missouri,MO,ACCTCY 2026,55,62,eligible,Y,0,0,,,,6,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,64,Drexel University,PA,ACCT 115,19,30,eligible,,0,1,1-3,,Y,6,4,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,63,University of Utah Salt Lake,UT,,,,,,5,1,12-14,Y,Y,10,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,63,North Central Texas College,TX,,,,,,4,0,1-4,Y,Y,9,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,63,University of Toronto,ON,,,,,,3,3,1-12,Y,Y,6,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,63,Seminole State College of Florida,FL,ACG 2021,,54,,,2,0,,Y,Y,3,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,63,Rice University,TX,,,,,,2,7,1-3,Y,Y,9,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,63,University of Montana,MT,,,,,,1,8,8-14,Y,Y,10,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,63,Texas A&M Univ-Texarkana,TX,,,,,,1,2,7-8,Y,Y,16,0,,COMPLETE,HIGH — confirmed prof + exam map; ready for outreach
B,63,University of North Carolina at Charlotte,NC,ACCT 2121,15,33,eligible,,0,0,1-4,Y,Y,16,0,,COMPLETE,HIGH — strong Greek + course intel; outreach
B,61,City College of San Francisco,CA,ACCT 1,,12,,,4,5,,Y,Y,15,0,,COMPLETE,HIGH — strong Greek + course intel; outreach
B,61,Florida Gulf Coast University,FL,ACG 2021,,18,,,0,1,1-16,Y,Y,7,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,60,"University of Nevada, Las Vegas",NV,ACC 201,,29,,,0,1,1-3,,Y,23,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,58,Univ of California-Davis,CA,,,,,,4,5,1-7,Y,Y,18,0,,NEEDS_REVIEW,HIGH — confirmed prof + exam map; ready for outreach
B,58,University of North Georgia,GA,ACCT 2101,,,,,0,1,1-2,Y,Y,13,0,,COMPLETE,exam map known; find professor (Pass B)
B,58,Binghamton University,NY,ACCT 211,32,49,eligible,,0,1,,Y,,14,0,,COMPLETE,course known; needs prof + exam evidence
B,58,Bradley University,IL,ATG 157,,1,,,0,2,1-4,Y,Y,15,0,,COMPLETE,exam map known; find professor (Pass B)
B,55,University of West Georgia,GA,ACCT 2101,,28,,,5,0,,,Y,19,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,55,University of North Texas,TX,ACCT 2010,,40,,,1,0,,,Y,29,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,55,The University of Texas at San Antonio,TX,ACC 2013,,28,,,1,0,,,Y,12,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,55,University of Alabama,AL,AC 210,14,71,eligible,Y,0,0,,,,4,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,53,Florida International University,FL,ACG 2021,,34,eligible,,0,4,,Y,Y,11,0,,COMPLETE,course known; needs prof + exam evidence
B,51,American University,DC,ACCT 240,,28,eligible,,3,12,,,,11,1,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,51,Northwestern State University,LA,ACCT 2000,32,18,eligible,,0,2,,,Y,8,1,,NEEDS_REVIEW,course known; needs prof + exam evidence
B,50,Rochester Institute of Technology,NY,ACCT 110,18,27,eligible,,1,1,,,,8,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,50,George Mason University,VA,ACCT 203,7,35,eligible,,0,0,1-18,Y,Y,6,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
B,48,Wayland Baptist University,TX,ACCT 2305,,,,,2,4,,Y,Y,21,0,,NEEDS_REVIEW,confirmed prof; parse/verify exam map next
B,48,Wilmington College,OH,EC 238,,2,,,1,0,,Y,Y,2,0,,NEEDS_REVIEW,confirmed prof; parse/verify exam map next
B,48,University of Maine,ME,,,,,,0,1,1-4,Y,Y,6,0,,COMPLETE,thin evidence; human review
B,48,University of Akron,OH,,,,,,0,8,1-3,Y,Y,8,0,,COMPLETE,thin evidence; human review
B,48,CUNY-Brooklyn College,NY,,,,,,0,2,8-9,Y,Y,5,0,,COMPLETE,thin evidence; human review
B,48,Washburn University,KS,,,,,,0,4,1-13,Y,Y,7,0,,COMPLETE,thin evidence; human review
B,48,Prairie View A&M University,TX,,,,,,0,7,1-4,Y,Y,14,0,,COMPLETE,thin evidence; human review
C,47,University of Illinois Chicago,IL,ACTG 210,8,28,eligible,,4,4,,,Y,10,0,,NEEDS_REVIEW,HIGH — strong Greek + course intel; outreach
C,47,University of Wisconsin–Milwaukee,WI,BUS ADM 201,,17,,,0,5,,Y,Y,9,1,,COMPLETE,course known; needs prof + exam evidence
C,47,Trinity College,,2001,,12,eligible,,0,4,,Y,Y,9,1,,COMPLETE,course known; needs prof + exam evidence
C,46,University of Wisconsin–Oshkosh,WI,ACCT 206,,17,,,0,1,,Y,Y,16,0,,COMPLETE,course known; needs prof + exam evidence
C,45,Sul Ross State University,TX,,,,,,2,0,1-4,,,8,0,,NEEDS_REVIEW,HIGH — confirmed prof + exam map; ready for outreach
C,45,Dakota College at Bottineau,ND,,,,,,1,1,14-14,,,3,0,,NEEDS_REVIEW,HIGH — confirmed prof + exam map; ready for outreach
C,45,Tennessee State University,TN,ACCT 2010,,,,,0,1,1-8,,Y,16,0,,NEEDS_REVIEW,exam map known; find professor (Pass B)
C,44,University of Houston - Downtown,TX,ACC 2301,,36,,,0,1,,Y,,14,1,,NEEDS_REVIEW,course known; needs prof + exam evidence
C,43,McMaster University,ON,,,,,,4,4,,Y,Y,3,0,,COMPLETE,confirmed prof; parse/verify exam map next
C,43,University of Genoa,IT,,,,,,3,2,,Y,Y,6,0,,COMPLETE,confirmed prof; parse/verify exam map next
C,43,Mercer University-Macon,GA,ACC 204,,,,,3,1,,Y,,9,0,,NEEDS_REVIEW,confirmed prof; parse/verify exam map next
C,43,Nagoya University,OH,,,,,,2,2,,Y,Y,8,0,,COMPLETE,confirmed prof; parse/verify exam map next
C,43,Waseda University,JP,,,,,,2,2,,Y,Y,8,0,,COMPLETE,confirmed prof; parse/verify exam map next
C,43,South Plains College,TX,,,,,,1,2,,Y,Y,10,0,,COMPLETE,confirmed prof; parse/verify exam map next
C,43,Univ of Hawaii at Manoa,HI,,,,,,0,1,1-3,Y,Y,15,0,,NEEDS_REVIEW,thin evidence; human review
C,43,Eastern Illinois Univ,IL,,,,,,0,3,1-5,Y,Y,7,0,,NEEDS_REVIEW,thin evidence; human review
C,43,Yeshiva University New,NY,,,,,,0,2,1-4,Y,Y,8,0,,NEEDS_REVIEW,thin evidence; human review
C,43,Pratt Institute-Main,,ACCT-1971,,3,eligible,,0,7,,Y,Y,12,1,,COMPLETE,course known; needs prof + exam evidence
C,41,Rhode Island College,RI,ACCT 201,52,6,eligible,,0,0,,,Y,10,1,,NEEDS_REVIEW,course known; needs prof + exam evidence
C,41,Missouri State University,MO,ACC 201,,31,,,0,2,,,Y,21,1,,NEEDS_REVIEW,course known; needs prof + exam evidence
C,40,Kent State University,OH,ACCT 23020,,1,,,1,10,,,Y,12,0,,NEEDS_REVIEW,confirmed prof; parse/verify exam map next
C,40,Howard University,DC,ACCT 201,2,6,eligible,,0,2,,Y,Y,18,0,,NEEDS_REVIEW,course known; needs prof + exam evidence
