campus,state,professor,source_quality,year,source_url
Adrian College,MI,LCMC/RIZE Staff,HIGH,2026,https://www.adrian.edu/files/assets/schedspring.pdf
Adrian College,MI,Terence Sheehan,HIGH,2026,https://www.adrian.edu/files/assets/schedspring.pdf
American University,DC,Fisher,HIGH,2025,https://www.american.edu/provost/academic-access/upload/fall-2021-si-session-schedule.pdf
American University,DC,Kausar,HIGH,2025,https://www.american.edu/provost/academic-access/upload/fall-2021-si-session-schedule.pdf
American University,DC,Potepa,HIGH,2025,https://www.american.edu/provost/academic-access/upload/fall-2021-si-session-schedule.pdf
Austin Community College,TX,Kristy McDermott,HIGH,2025,https://lighthouse.apps.austincc.edu/faculty/syllabus?id=508437
Ball State University,IN,Amy Moudy,HIGH,2026,https://www.bsu.edu/web/bsudatastream?ds=EkxX3dLjJ3jXM1GXO23VjeEUN91I71uk4NmIQnz8R8tLRQqx%2FVrxTilhcxBEpl9yqMc0fBNrDkKYRGUmaXwDvwaaJligvQ7DkJBCHXQqSHPixk1XcbmF4SmPFysQ1JodM8EnLMuFXrI615jCwLzrJw%3D%3D
Ball State University,IN,Atul Singh,HIGH,2026,https://www.bsu.edu/web/bsudatastream?ds=hBAE1IVt92n78lgBtI3mY97MlogLKPr0sl9B0V4gKYMZiCt8zo0c88XTzbXftxc3PtDvLW9rdgLJO1rKjplrVoHCPTVKH6fluXSbW0HzXXQqiwE1TJM7kL9gS%2BvqElLXwyoUr5LcfYb0hdp5B9RwYw%3D%3D
Ball State University,IN,Dr. Sharon Huang,HIGH,2026,https://www.bsu.edu/web/bsudatastream?ds=Z7UH8ban8ng2QorQ23ulQqvlzy9IOXozqGBFobSkTHyszcjpfhMUQ29mmL%2FWvO6IFdJFmKq2COPR%2BZfY6Au4SbSEwnNUBK1GzaWoGBHVAgUQYkgKYsvGxrehIY6WOLxc7x8eRKCmEljk9u6w5yYMuScTZdzpHE2ltYVniJ4rTZY%3D
Boise State University,ID,Matthew Stallings,HIGH,2026,https://my.boisestate.edu/course-search/courses/1269/ugrd/ACCT/100370
Brandeis University,MA,Divya Khaitan,HIGH,2026,https://www.brandeis.edu/courses/1600/UGRD
Brandeis University,MA,Eneda Golemi,HIGH,2026,https://www.brandeis.edu/courses/1600/UGRD
Brandeis University,MA,Hagit Weihs,HIGH,2026,https://www.brandeis.edu/courses/1600/UGRD
"Calif State Univ, Long Beach Long",CA,Galeas M,HIGH,2025,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2025/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Huang X,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Johnson D,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Lacey J,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Mari R,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Masterson M,HIGH,2025,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2025/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Sinha D,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Smith Jones L,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Staff,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Sundararaman R,HIGH,2025,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2025/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Yang Y,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
"Calif State Univ, Long Beach Long",CA,Zhang I,HIGH,2026,https://web.csulb.edu/depts/enrollment/registration/class_schedule/Fall_2026/By_College/ACCT.html
Carleton University,ON,Jasdeep Bajwa,HIGH,2025,https://sprott.carleton.ca/undergraduate-students-course-outlines/ug-fall-2025-course-outlines/
City College of San Francisco,CA,G. R. Woo,HIGH,2025,https://hills.ccsf.edu/~grwoo/cs160aAft_sp18/syllabus.pdf
City College of San Francisco,CA,grwoo,HIGH,2025,https://hills.ccsf.edu/~grwoo/cs160aAft_sp18/syllabus.pdf
City College of San Francisco,CA,Mario Yrun,HIGH,2026,https://www.ccsf.edu/courses
City College of San Francisco,CA,Pebble Carballo,HIGH,2026,https://fog.ccsf.edu/~jpotter/ccsf/schedule/20265.html
Colorado College,,Andrea Golfari,HIGH,2025,https://www.coloradocollege.edu/academics/dept/economics/courses/2025-26-teaching-schedule.html
Colorado College,,Celeste Diaz Ferraro,HIGH,2025,https://www.coloradocollege.edu/academics/dept/economics/courses/2025-26-teaching-schedule.html
Colorado College,,Diaz Ferraro,HIGH,2025,https://www.coloradocollege.edu/academics/dept/economics/student-resources/schedule_by_course_twopages.pdf
Colorado College,,Golfari,HIGH,2025,https://www.coloradocollege.edu/academics/dept/economics/student-resources/schedule_by_course_twopages.pdf
Colorado College,,Kat Miller-Stevens,HIGH,2025,https://www.coloradocollege.edu/academics/dept/economics/courses/2025-26-teaching-schedule.html
Colorado College,,Miller-Stevens,HIGH,2025,https://www.coloradocollege.edu/academics/dept/economics/student-resources/schedule_by_course_twopages.pdf
Dakota College at Bottineau,ND,Wayne Johnson,HIGH,2025,https://www.dakotacollege.edu/application/files/4714/1037/6775/ACCT201-W_Johnson-spr12.pdf
De Anza College,CA,Lauri Hammond,HIGH,2026,https://www.deanza.edu/schedule/online-classes.html
De Anza College,CA,Sandra Li,HIGH,2026,https://www.deanza.edu/schedule/online-classes.html
De Anza College,CA,Scott Osborne,HIGH,2026,https://www.deanza.edu/schedule/class-details.html?crn=31801&y=2026&q=W
De Anza College,CA,Yacoub Moussa,HIGH,2026,https://www.deanza.edu/schedule/online-classes.html
Florida Atlantic University,FL,Zachary Ferrara,HIGH,2025,https://www.fau.edu/uupc/documents/materials/2024/march-25-2024/hc-acg-2021.pdf
Florida State College at Jacksonville,FL,Shawna Coram,HIGH,2026,https://syllabus.fscj.edu/doc/8khm359ny/Summer-2026-ACG-2021-1675?mode=view
Foothill College,CA,"BENSON, BEN",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"GOPAL, SUBHA",HIGH,2026,https://fhweb.foothill.edu/schedule/?dept=every&srchinst=&srchcrn=&Quarter=2026W&modality=anymodality&oer=any&availability=all&type=latestart&GEArea=any&time=Any+Time&location=anywhere&ADay=A
Foothill College,CA,"JAMA, FILSUN",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"NGUYEN, LONG",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"TORRETTO, JOE",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"WANG-NAVA, JOSE",HIGH,2026,https://fhweb.foothill.edu/schedule/?dept=every&srchinst=&srchcrn=&Quarter=2026W&modality=anymodality&oer=any&availability=all&type=latestart&GEArea=any&time=Any+Time&location=anywhere&ADay=A
Gustavus Adolphus College,,Dr. Mercy L. Palamuleni,HIGH,2025,https://gustavus.edu/econ-mgmt/concertFiles/media/syllabi/fall15/EM-201_Palamuleni.pdf
Jefferson Community and Technical College,KY,Graham,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
Jefferson Community and Technical College,KY,Joy,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
Kent State University,OH,Wendy Tietz,HIGH,2026,https://syllabus.kent.edu/
King's College - Pennsylvania,PA,Dr. James Fleury,HIGH,2026,https://www.academia.edu/167047273/Syllabus_Superhero_Media_Fall_2026_
Lakeland Community College,OH,"Corwin, C",HIGH,2026,https://lkn.lakelandcc.edu/internet/academics/schedule/?show=1&subj_code=ACCT
Lakeland Community College,OH,"Mengelkamp, J",HIGH,2026,https://lkn.lakelandcc.edu/internet/academics/schedule/?show=1&subj_code=ACCT
Lakeland Community College,OH,"Racic, J",HIGH,2026,https://lkn.lakelandcc.edu/internet/academics/schedule/?show=1&subj_code=ACCT
Louisiana State University,LA,Elizabeth Briggs,HIGH,2025,https://cemoodle.online.lsu.edu/syllabus/ACCT_2001_3.0_s1_Syllabus.pdf
McMaster University,ON,Dr. Alfred Liu,HIGH,2025,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2024/12/1AA3-W25-Revised-Liu.pdf
McMaster University,ON,Dr. Emad Mohammad,HIGH,2025,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2025/09/IBH-1AA3-F25-Mohammad.pdf
McMaster University,ON,Dr. Yaqin Hu,HIGH,2025,https://mbastudent.degroote.mcmaster.ca/wp-content/uploads/sites/69/2025/06/A610-Course-Outline-Fall-2025.pdf
McMaster University,ON,Mr. Karim Karim,HIGH,2025,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2025/09/IBH-1AA3-F25-Mohammad.pdf
