campus_id,campus,state,course_code,professor_candidates,confirmed_intro1_professors,documents_found,syllabi_found,study_guides_found,review_docs_found,schedules_found,textbook_docs_found,highest_source_confidence,status,last_error,recommended_next_action
00274032-48fd-43d0-bd53-3549b4c5ff07,CUNY Hunter College,,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,2,1,10,9,0,0,0,3,High,COMPLETE,"REST POST course_evidence → 400 {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""All object keys must match""}",discover_course_code
0058c3b5-9cf3-4da2-a236-75b19b8b7911,Lawrence Technological Univ,MI,,0,0,1,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
0061927b-102d-4362-9c21-c5b423e43cac,University of The Cumberlands,KY,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,42,5,17,1,1,1,9,0,,NEEDS_REVIEW,,human_review_medium_confidence
01a4f731-5f9a-4d62-a663-f51adccd3231,Montana State Univ-Billings,MT,ACTG 201,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
022f4049-cba8-48ec-9edd-c585f88f7f87,University of Puget Sound,,,10,0,0,0,0,0,0,0,,WAITING_FOR_COURSE,,await_course_code_backfill
028b5829-9bac-49e7-949f-c11f2f4a4522,University of New Hampshire,NH,ACCT 532,25,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
02a82fbc-c702-4940-aa81-aedf19bf0140,University of Iowa Iowa,IA,,0,0,6,0,0,0,1,0,,NEEDS_REVIEW,,discover_course_code
0313357b-f044-49dc-b64c-5b4429ace2ca,Northern Arizona University,AZ,ACC 255,0,0,8,4,0,0,3,2,High,COMPLETE,"REST POST course_evidence → 400 {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""All object keys must match""}",ready_for_mapping_review
034f7eaf-fd20-4890-a886-1aad917e13f9,Durham Technical Community College,NC,,0,0,3,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
03ba330e-a0c8-44c0-afdc-e8c247c5fdea,Uof California-Berkeley,CA,,17,1,3,0,0,0,3,0,,NEEDS_REVIEW,,discover_course_code
03bd72c1-3c7e-4b34-8f74-9b1da782f752,Erskine College,SC,BA 221,22,0,1,0,0,0,0,0,,NEEDS_REVIEW,,human_review_medium_confidence
03be85e7-c388-40db-ac11-960c88d1a8b2,Missouri Southern St Univ,MO,ACCT 0201,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
03ce5ea1-240d-4a8a-a7a6-c35e76aeb549,Albany State University,GA,ACCT 2101,38,4,16,0,1,0,1,0,,NEEDS_REVIEW,,human_review_medium_confidence
0413aa57-040e-42c2-a0e4-d93c16cbd1f2,Calif St U-Dominguez Hills,CA,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0417ce15-a77e-4ea4-86fd-a631c0d6c359,Seneca Polytechnic,ON,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
044c2f7d-7367-4634-8fb2-477920113a56,Univ of Central Florida,FL,ACC 201,20,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
04786a32-7351-43a1-b6d2-a479ba0f4d10,Western Carolina University,NC,,7,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
04a6f5fc-5913-4fc1-84f7-039fd4149b4d,Casper College,WY,,0,0,0,0,0,0,0,0,,NO_RESULT,,discover_course_code
04c18a57-5136-4620-a767-8e78ac16a082,Thomas Jefferson University,,ACCT 101,2,0,20,4,0,0,6,0,,NEEDS_REVIEW,,human_review
04efb67d-2b5d-41a7-8efe-c169a5b76671,New York Institute of Tech Old,NY,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0632e0db-c8a2-4438-b1a4-aac2bb91f8f0,Prague University of Economics and Business,Prague,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
063e3e9e-7bec-4e35-8cd6-2f3d14e56f40,Piedmont Virginia Community College,VA,,0,0,1,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
06bf71a9-dd00-4ec2-85b2-dc4ec507a5ec,Valparaiso University,IN,,1,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
07abe6b1-0505-4677-b232-ce2466ce8025,Illinois Wesleyan University,,,16,0,0,0,0,0,0,0,,WAITING_FOR_COURSE,,await_course_code_backfill
07d162bf-ff97-4faf-a6dd-a86f60e658a4,University of Klagenfurt,AT,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
083af01c-5504-4361-8165-2c8e07f52f1b,Drury University,MO,,3,0,3,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
0854cf69-76e9-41a4-bc7e-9e2a902b0ff6,Weatherford College,TX,,0,0,0,0,0,0,0,0,,NO_RESULT,,discover_course_code
088edb1d-097d-4182-abd0-6bd91bd2b485,University of Wisconsin–Oshkosh,WI,ACCT 206,56,7,16,1,0,0,1,1,High,COMPLETE,This operation was aborted,ready_for_mapping_review
09468af0-2e5e-4758-b9db-9b8d8473720e,Campbellsville University,KY,ACC 221,37,0,7,1,0,0,0,0,,NEEDS_REVIEW,,human_review_medium_confidence
09de9381-4821-4dd2-af13-9b0dab76009d,Rockhurst University,MO,AC 2010,29,0,0,0,0,0,0,0,,NO_RESULT,,manual_review_no_public_docs
09eb4c4d-1391-4809-be0e-11ac02c3cf7e,King's College,PA,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0a2467b0-4236-4560-8258-9c06494ec754,Foothill College,CA,,0,6,6,5,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
0a3b9320-6bf6-4bb8-b6bf-ae15265f984f,South Mountain Community College,AZ,,0,0,1,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
0a3cb687-366b-4785-a617-593622020200,Memorial University of Newfoundland,NL,,0,1,8,3,0,0,2,1,Medium,NEEDS_REVIEW,,discover_course_code
0a691d0a-34aa-4226-8511-bd241c559a29,Cal Poly Humboldt,CA,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0a748ddd-d1ea-439f-b5f8-587567a32f77,Hanover College,,BSP 325,1,0,1,0,0,0,0,0,,NEEDS_REVIEW,,human_review
0a812f83-8129-4bab-ad51-7366d1e2a183,SUNYat Plattsburgh,NY,,0,0,1,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
0af70b45-ea23-4541-bcf0-b498b7c7dea2,Metro Community College Ft Omaha E,NE,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0b199f76-27de-48df-8995-829dd9b4269d,Southeastern Louisiana Univ,LA,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0b3dfa6a-84b2-439c-baf7-8b176d6baf4b,Northern State University,SD,,0,0,1,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
0b7532ee-e905-4012-b835-ab99faf022d6,Howard University,DC,ACCT 201,115,17,18,3,0,0,5,1,Medium,NEEDS_REVIEW,This operation was aborted,human_review_medium_confidence
0b7a9a22-43aa-45f5-85f7-1775981a18b5,Youngstown State University,OH,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0b932413-c969-4b71-9890-faf728e68212,Park University,MO,AC 201,36,0,11,0,0,0,0,0,,NEEDS_REVIEW,,human_review_medium_confidence
0be532c5-92f3-4118-bfeb-598814125b3a,Widener University,PA,,5,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0c1f92c6-28ac-4337-a9ff-cc37dde1e15c,University of Hawaii at Hilo,HI,,2,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0c4bd334-027c-4924-97d4-779d00ff3a8f,Ursinus College,,,10,0,0,0,0,0,0,0,,WAITING_FOR_COURSE,,await_course_code_backfill
0ca1f08f-0e84-4db9-8b99-db84f2d35b18,Southern Illinois Univ,IL,ACCT250,0,0,5,0,0,0,0,0,,NEEDS_REVIEW,,run_professor_backfill_then_pass_b
0cdd07d2-dead-4536-8851-da2eaf3e4627,Victoria College,TX,,0,0,4,0,0,0,1,0,,NEEDS_REVIEW,,discover_course_code
0d099c0a-c67d-4f8f-b964-f507569e6520,Humber Polytechnic,ON,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0e791cac-4313-4d1d-b394-69dc6523a86b,Southeastern Oklahoma St,OK,ACCT-2103,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0eb06435-3919-47f9-a0a2-0992b4be62e0,Gustavus Adolphus College,,B/E 110,1,0,15,1,0,0,2,0,,NEEDS_REVIEW,,human_review
0f40f287-100d-4ec3-a951-1e3b40486a8f,University of St. Thomas-MN St.,MN,,0,0,4,0,0,0,0,0,,NEEDS_REVIEW,,discover_course_code
0f682377-179e-47c9-a36a-5ee3bc9efc14,University of Cincinnati-Main Campus,,,3,0,0,0,0,0,0,0,,NO_RESULT,,discover_course_code
0fa0e5bb-76cd-4299-a9af-f8802eaf317c,Spelman College,,,0,0,0,0,0,0,0,0,,NO_RESULT,,resolve_campus_domain
0fad3da2-b1f2-4e2b-9637-7b5d0737ec4d,Harris-Stowe State Univ St.,MO,,0,0,0,0,0,0,0,0,,NO_RESULT,,discover_course_code
