document_id,campus_id,campus,state,course_code,professor_name,document_type,value_tier,title,source_url,source_domain,file_type,term,year,processing_status,content_hash,first_seen
13ddd784-01ee-4fe0-8bf0-0deee70cc77f,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,unknown_pdf,3,ACTG 201.04: Principles of Financial Accounting,https://scholarworks.umt.edu/context/syllabi/article/4915/viewcontent/ACTG201___Russ.pdf,scholarworks.umt.edu,pdf,,,discovered,,2026-08-25T05:26:11.407328+00:00
86736bdf-a1ce-4784-bce6-397bed3b1f12,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACCT 311.01: Intermediate Accounting I,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=5420&context=syllabi,scholarworks.umt.edu,html,,,discovered,,2026-08-25T05:26:11.550329+00:00
d821727b-e0c8-48ae-a224-cb91682e252f,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACCT 201.02: Financial Accounting,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=11995&context=syllabi,scholarworks.umt.edu,html,,,discovered,,2026-08-25T05:26:11.691912+00:00
d123a016-7383-4b6f-b35e-1481f305d125,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACCT 311.01: Intermediate Accounting I,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=4444&context=syllabi,scholarworks.umt.edu,html,,,discovered,,2026-08-25T05:26:11.827009+00:00
e84cab54-ce16-486b-b7eb-31ddc2543197,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACCT 413.01: Advanced Accounting Topics,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=7499&context=syllabi,scholarworks.umt.edu,html,,,discovered,,2026-08-25T05:26:11.968293+00:00
14f619d1-f54d-42b4-9faa-cae67a144c02,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACCT 675.01: Contemporary Accounting Problems,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=12817&context=syllabi,scholarworks.umt.edu,html,,,discovered,,2026-08-25T05:26:12.158406+00:00
aa98bf15-d8cd-4d0c-88d8-a140ad08269a,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,Steven Mitsuda,syllabus,2,ACTG 201.03: Principles of Financial Accounting,https://scholarworks.umt.edu/syllabi2021-2025/1511/,scholarworks.umt.edu,html,,,discovered,,2026-08-25T05:26:12.305199+00:00
17ebe526-3536-4a52-aa83-c2e1546b7f3d,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACTG 201.02: Principles of Financial Accounting,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=8199&context=syllabi,scholarworks.umt.edu,html,Spring,2018,parsed,4q4noi,2026-08-25T05:26:11.130372+00:00
f7833d6f-6590-4736-96d2-03fb0edc4db1,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACTG 201.04: Principles of Financial Accounting,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=5591&context=syllabi2021-2025,scholarworks.umt.edu,html,Fall,2025,parsed,15dhevp,2026-08-25T05:26:11.271796+00:00
349a5889-4cc8-491f-95d5-d16abd8ce410,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,,,syllabus,2,ACTG 201.02: Principles of Financial Accounting,https://scholarworks.umt.edu/syllabi2021-2025/2210/,scholarworks.umt.edu,html,Spring,2024,parsed,1ooaerr,2026-08-25T05:26:10.976166+00:00
ed018cb0-d976-4888-b006-eb97db89211c,0058c3b5-9cf3-4da2-a236-75b19b8b7911,Lawrence Technological Univ,MI,,,unknown_pdf,3,UAC-Annual-Assessment-Report-2016- ...,https://ltu.edu/wp-content/uploads/2024/06/UAC-Annual-Assessment-Report-2016-17.pdf,ltu.edu,pdf,,,discovered,,2026-08-25T05:26:17.648541+00:00
70ec721d-53d5-41de-aead-e715ff1c9e08,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,catalog,4,Jax State Courseleaf Curriculum Inventory Management ( ...,https://www.jsu.edu/registrar/docs/JSU_CIM_User_Guide.pdf,jsu.edu,pdf,,,discovered,,2026-08-25T05:26:19.203909+00:00
4180c5c2-92d2-487d-9f28-59fb466fe48c,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,unknown_pdf,3,Pre-Law Information Sheet Major/Minor,https://www.jsu.edu/polsci/common_files/PreLaw%20Info%20sheet.pdf,jsu.edu,pdf,,,discovered,,2026-08-25T05:26:19.349592+00:00
64a37982-40de-4a9e-9e25-2c66ef9ebefa,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,catalog,4,College of Graduate Studies Bulletin 2006-2007 of,https://www.jsu.edu/graduate/pdf/2006-07Bulletin.pdf,jsu.edu,pdf,,,discovered,,2026-08-25T05:26:19.509935+00:00
f2274ebd-bb66-41da-b7f6-cdfa71466635,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,unknown_pdf,3,Jacksonville State University Annual Financial Report,https://www.jsu.edu/controller/docs/JSU-Annual-Financial-Report-FY2020.pdf,jsu.edu,pdf,,,discovered,,2026-08-25T05:26:19.999259+00:00
23b46cd1-7ffb-415f-a620-cf43d6dc48a5,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,study_guide,1,Education - LibGuides at Jacksonville State University,https://libguides.jsu.edu/sb.php?subject_id=26256,libguides.jsu.edu,html,,,parsed,u4dtnq,2026-08-25T05:26:19.667453+00:00
b5ccadcb-f522-40dd-af83-be485676fea1,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,study_guide,1,News/Newspapers - LibGuides at Jacksonville State University,https://libguides.jsu.edu/sb.php?subject_id=31255,libguides.jsu.edu,html,,2025,parsed,imkuox,2026-08-25T05:26:19.831813+00:00
725ccad3-12c4-4060-92a3-198130196ec2,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,schedule,2,1p-5p 3p-7p ACC 210 10a-12p,https://www.jsu.edu/studentsuccess/academic-support/tutoring-schedules/spring-26-tutoring-schedule2-20-26.pdf,jsu.edu,pdf,Summer,2026,parsed,4baug4,2026-08-25T05:26:20.149764+00:00
0b1e54ff-88bd-44e8-b8a5-b03d38666c57,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,schedule,2,SP 26 Supplemental Instruction (SI) Schedule,https://www.jsu.edu/studentsuccess/academic-support/tutoring-schedules/spring_26_si_schedule-3-5.pdf,jsu.edu,pdf,,,discovered,,2026-08-25T05:26:20.757345+00:00
ee7e8114-673b-474e-b4c3-9d2b5c755125,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,schedule,2,SUMMER 2024 SI SCHEDULE,https://www.jsu.edu/studentsuccess/academic-support/summer-2024-si-schedule.pdf,jsu.edu,pdf,,,discovered,,2026-08-25T05:26:21.244973+00:00
3092bd5a-133f-4d60-a6c3-fa98ff620159,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,schedule,2,11a-3p; 5p-9p,https://jsu.edu/studentsuccess/academic-support/Fall-2022-Tutor-Schedule.pdf,jsu.edu,pdf,,2025,parsed,hcvoel,2026-08-25T05:26:20.301724+00:00
a7f24dc1-b48b-4863-86cc-51521ded4b66,01668df5-a744-4307-b733-2db6e8cde542,Jacksonville State University,AL,ACC 200,,schedule,2,CS-230 BY-332 BY-373 BY-450 BY-322 FRIDAY ACC-200 ...,https://www.jsu.edu/studentsuccess/academic-support/spring-2024-tutoring-schedule.pdf,jsu.edu,pdf,,,discovered,,2026-08-25T05:26:20.476672+00:00
