priority,campus_id,campus,state,reason,detail,status
1,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,multiple_textbook_editions,Financial & Managerial Accounting|14th edition ; Introductory Financial and Managerial Accounting for Undergraduates|3rd edition,COMPLETE
1,0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,conflicting_professor_evidence,"{""LIKELY_INTRO1"":3,""CONFIRMED_INTRO1"":1}",COMPLETE
1,03ba330e-a0c8-44c0-afdc-e8c247c5fdea,Uof California-Berkeley,CA,conflicting_professor_evidence,"{""CONFIRMED_INTRO1"":1,""LIKELY_INTRO1"":1}",NEEDS_REVIEW
1,102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,multiple_textbook_editions,Financial Accounting|10th Edition ; Financial Accounting|7th Edition,COMPLETE
1,163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,multiple_textbook_editions,"Financial Accounting|26 Edition ; Accounting (LL) 1A - De Anza, 29th + CNOWv2 for Accounting, 1 term Acc Card|29th",COMPLETE
1,163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,conflicting_professor_evidence,"{""LIKELY_INTRO1"":5,""CONFIRMED_INTRO1"":4,""POSSIBLE_INTRO1"":2}",COMPLETE
1,1cc90976-6fa5-4b05-9db0-1893f95c0e05,Grand Valley State Univ Grand,MI,multiple_textbook_editions,FUNDAMENTALS OF FINANCIAL ACCOUNTING W/ CONNECT BUNDLE|5 ; FUND. OF FINANCIAL ACCOUNTING CONNECT|5,NEEDS_REVIEW
1,1d6d2c96-2d39-4387-ad42-b0172a297eae,Utah Tech University,UT,multiple_textbook_editions,Gleim CMA Part 1|2025 Edition ; Business Finance Essentials|,NEEDS_REVIEW
1,2615bd8c-9631-467d-b9c3-2e128212ddfe,College of the Rockies,BC,multiple_textbook_editions,"Intermediate Accounting, Volume One|Seventh Edition Update ; Canadian Income Taxation|2021-2022 Edition ; Small Business – An Entrepreneur’s Plan|7th Enhanced Canadian Edition ; Canadian Income Taxation, with Connect access|2024-2025 Edition",COMPLETE
1,2d23ea54-35d6-4f68-8a2b-5c53849a61be,Texas A&M Univ-Texarkana,TX,conflicting_professor_evidence,"{""LIKELY_INTRO1"":3,""CONFIRMED_INTRO1"":1}",COMPLETE
1,318d6a61-b955-4242-9b0c-1c471a14791a,Franklin University,OH,multiple_textbook_editions,Horngren’s financial and managerial accounting: The financial chapters|7th ed. ; Intermediate Accounting|11th ; Financial accounting theory and analysis: Text and cases|13th ed. ; Survey of accounting|7th ed.,COMPLETE
1,33422353-e982-42b4-b0e4-26fbb9cf1d1e,Doane University,NE,multiple_textbook_editions,Horngren’s Accounting|10th ; Financial Accounting The Impact on Decision Makers|Tenth Edition,COMPLETE
1,356ddca2-f616-4344-baed-6b1e5c5c83ff,King's College - Pennsylvania,PA,multiple_textbook_editions,"Accounting Tools for Business Decision Making|5th Edition ; Financial Management for Public, Health, and Not-for-Profit Organizations|4th ed.",COMPLETE
1,379b6839-6a7d-479a-b2df-d1dbce1d831e,Kent State University,OH,conflicting_professor_evidence,"{""CONFIRMED_INTRO1"":1,""LIKELY_INTRO1"":10}",NEEDS_REVIEW
1,391db14a-eec4-471d-8348-74078e451fdc,Universidad Carlos III de Madrid,MD,multiple_textbook_editions,Financial Accounting International Financial Reporting Standards|11 Edition ; Financial and Managerial Accounting|13th Edition,COMPLETE
1,4a1720da-d044-42a3-bdde-1542ae9e096c,Stanford University,CA,conflicting_professor_evidence,"{""LIKELY_INTRO1"":3,""CONFIRMED_INTRO1"":4}",NEEDS_REVIEW
1,4ba93766-716e-4019-87ab-9181e6bba681,Nagoya University,OH,multiple_textbook_editions,"Principles of Accounting, Volume 1: Financial Accounting| ; Financial Reporting, Financial Statement Analysis, and Valuation|Ninth Edition",COMPLETE
1,4ba93766-716e-4019-87ab-9181e6bba681,Nagoya University,OH,conflicting_professor_evidence,"{""LIKELY_INTRO1"":2,""CONFIRMED_INTRO1"":2}",COMPLETE
1,519ab87b-e1bc-4847-a579-140ec08ef841,Wayland Baptist University,TX,conflicting_professor_evidence,"{""LIKELY_INTRO1"":3,""CONFIRMED_INTRO1"":1}",NEEDS_REVIEW
1,54110fb9-3a7e-42fb-9cd0-f8e441f5587a,University of Exeter,EX,multiple_textbook_editions,Accounting and Finance for Non-specialists| ; Financial Information Analysis|2nd edition ; Financial Accounting for Decision Makers|11th Ed,COMPLETE
1,5f09e5d9-bf5b-4672-8fde-5c1f5f4af107,Augusta University,GA,multiple_textbook_editions,Bookkeeping for Dummies|2nd Edition ; Bookkeeping for Dummies|3rd Edition,COMPLETE
1,62f42404-8006-4fa6-9068-516683198e09,New York University,NY,multiple_textbook_editions,Financial Accounting|12th edition ; Fundamentals of Financial Accounting|11th edition ; Financial Accounting|11th Ed. ; Financial Accounting|12th,COMPLETE
1,62f42404-8006-4fa6-9068-516683198e09,New York University,NY,conflicting_professor_evidence,"{""POSSIBLE_INTRO1"":4,""CONFIRMED_INTRO1"":6,""LIKELY_INTRO1"":1}",COMPLETE
1,6c2bfcd5-86ff-4126-a9a8-c617ff3bfb33,College of the Redwoods,CA,multiple_textbook_editions,Fundamental Accounting Principles|22nd edition ; Financial Accounting: Information for Decisions|8th ; Wild Financial and Managerial Accounting National|LL7/E,COMPLETE
1,7d9df2aa-4485-48e4-86f7-bfd409b9ef35,Seminole State College of Florida,FL,multiple_textbook_editions,Accounting Connect Access|13TH 23 ; Found Fin Mgmt. Connect(nd Seminole)|18TH 22,NEEDS_REVIEW
1,7e8be616-afcd-4961-830d-87a484b80a50,Rice University,TX,conflicting_professor_evidence,"{""LIKELY_INTRO1"":6,""CONFIRMED_INTRO1"":1}",COMPLETE
1,8258c5bb-9425-4e60-9996-61f5713e9f2b,University of Texas at El Paso,TX,conflicting_professor_evidence,"{""POSSIBLE_INTRO1"":2,""LIKELY_INTRO1"":3,""CONFIRMED_INTRO1"":1}",NEEDS_REVIEW
1,826884a5-9a66-41e8-9a4e-0c3417955bd4,Univ of California-Davis,CA,conflicting_professor_evidence,"{""LIKELY_INTRO1"":1,""CONFIRMED_INTRO1"":1}",NEEDS_REVIEW
1,93078365-5338-47a5-a275-1339b9812dba,College of New Caledonia,BC,multiple_textbook_editions,"Intermediate Accounting, Volume One|Seventh Edition Update ; Small Business – An Entrepreneur’s Plan.|7th Enhanced Canadian Edition ; Canadian Income Taxation|2024-2025 Edition",COMPLETE
1,9608bb77-b019-460a-b907-92e56493e21c,Langara College,BC,multiple_textbook_editions,"Intermediate Accounting, Volume One|Seventh Edition Update ; Small Business – An Entrepreneur’s Plan.|7th Enhanced Canadian Edition ; Canadian Income Taxation|2024-2025 Edition",COMPLETE
1,97dbdd51-4f57-40e6-a822-88ddc4c1ecb0,Colorado College,,conflicting_professor_evidence,"{""CONFIRMED_INTRO1"":5,""LIKELY_INTRO1"":2}",NEEDS_REVIEW
1,9961c567-684f-4fc4-bfea-f701a46b101d,Western Kentucky University,KY,multiple_textbook_editions,Financial Accounting:Tools for Business Decision Making|9th Ed ; Financial Accounting: Tools for Business Decision Making|9e,COMPLETE
1,9af2ea11-48be-4d06-b454-7949013dbe14,University of Illinois Chicago,IL,conflicting_professor_evidence,"{""POSSIBLE_INTRO1"":1,""CONFIRMED_INTRO1"":4}",NEEDS_REVIEW
1,a20b5f96-7a39-4a87-8fc8-30a577bac114,Florida International University,FL,multiple_textbook_editions,"The Legal Environment of Business|11th Ed ; Calculus for Business, Economics, and the Social and Life Sciences|11 ; Calculus for Business, Economics, and the Social and Life Sciences, brief|11",COMPLETE
1,aa693672-2bb7-4b81-847c-7b7be9f3ab10,City College of San Francisco,CA,conflicting_professor_evidence,"{""CONFIRMED_INTRO1"":2,""POSSIBLE_INTRO1"":3,""LIKELY_INTRO1"":6}",COMPLETE
1,b6679ac5-dc5d-4f0d-b1e0-d8905cdee00d,University of Genoa,IT,multiple_textbook_editions,"Intermediate accounting : IFRS edition| ; Bilancio di esercizio e principi contabili|XI ed. ; Financial Accounting, 7th Edition: An International Introduction|7th Edition ; The concise guide to Mergers, Acquisitions and divestitures|2007",COMPLETE
1,c4181814-91e1-44b3-9f4a-dd2c2e895706,Cerritos College,CA,multiple_textbook_editions,"Financial and Managerial Accounting: Information for Decisions|Seventh Edition ; Financial and Managerial Accounting: Information for Decisions|Eighth Edition ; College Accounting, A Contemporary Approach with CONNECT|5th edition",COMPLETE
1,d4a7fffb-46c2-40b4-ba73-67432ef69acf,South Plains College,TX,multiple_textbook_editions,Financial & Managerial Accounting|17th edition ; Financial & Managerial Accounting|15th ; Financial and Managerial Accounting|15e,COMPLETE
1,d4a7fffb-46c2-40b4-ba73-67432ef69acf,South Plains College,TX,conflicting_professor_evidence,"{""CONFIRMED_INTRO1"":2,""LIKELY_INTRO1"":2}",COMPLETE
1,d51305bc-4b97-4bc3-a6a5-24678f9dd387,Mercer University-Macon,GA,conflicting_professor_evidence,"{""CONFIRMED_INTRO1"":3,""LIKELY_INTRO1"":1}",NEEDS_REVIEW
