Campus,State,EDU Domain,Course Codes,Source Class,Syllabus Repository,Repository URL,Study Guides Found,Homework Docs Found,Course Schedules Found,Lecture/Review Docs,Useful Document Count,Highest Value Source,Textbook Found,Exact Edition Found,Exam Ranges Found,Mapping Evidence Strength,Automation Difficulty,Recommended Adapter,Manual Research Needed,Notes
University of Texas at Austin,TX,utexas.edu,ACC 311 ACC 311H ACC 310F,A,Yes,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/,0,0,0,0,2,syllabus,Yes,No,No,Moderate,easy,Texas HB2504 repo (utdirect coursedocs no-login search + stable download URLs),No,"Cleanest campus. Structured, mandated, no-login public system covering all undergrad sections including CVs. Highly automatable; textbook = Libby Financial Accounting."
"University of Tennessee, Knoxville",TN,utk.edu,ACCT 200 ACCT 203,D,No,https://catalog.utk.edu/,0,0,0,0,1,catalog,No,No,No,Weak,hard,manual VA (public .edu yields catalog only; real docs behind Studocu/CourseHero),Yes,Honest negative: substantive material for ACCT 200 lives on restricted doc services. No public repository. Would require manual research or a licensed data source.
University of Arkansas,AR,uark.edu,ACCT 2013 ACCT 20103,B,Yes,https://walton.uark.edu/advising/files/syllabi/,0,0,0,0,1,syllabus,Yes,Yes,Yes,Strong,easy,dept syllabus archive (walton.uark.edu/advising/files/syllabi/<COURSE>-<name>.pdf),No,"Second-most automatable campus. Predictable URL pattern; single fetch yields textbook, edition, and full exam->chapter structure."
Auburn University,AL,auburn.edu,ACCT 2110,D,No,https://bulletin.auburn.edu/coursesofinstruction/acct/,0,0,0,0,1,catalog,No,No,No,Weak,hard,manual VA (catalog + curriculum PDFs only; real docs behind restricted services),Yes,"Honest negative. Course is confirmed and instructor names are discoverable, but no public syllabus/exam documents on auburn.edu."
University of Kentucky,KY,uky.edu,ACC 201,D,No,https://www.uky.edu/degreeaudit/crs-desc/ACC.pdf,0,0,0,0,2,faculty_page,Yes,Yes,No,Weak,hard,manual VA (faculty pages blocked/stale; live syllabi behind restricted services). Textbook signal recoverable from SERP snippets.,Yes,"Honest negative on public docs: catalog description public, faculty page 403, live syllabi restricted. Textbook (Weygandt Financial Accounting; historically Harrison/Horngren) inferable from snippets."
Mississippi State University,MS,msstate.edu,ACC 2013 ACC 2023,D,No,https://catalog.msstate.edu/undergraduate/collegesanddegreeprograms/collegeofbusiness/richardcadkersonschoolofaccountancy/,0,0,0,0,1,catalog,No,No,No,Weak,hard,manual VA; investigate online.msstate.edu/files/pdfs/syllabus/ directory as a potential dept syllabus repo (unverified),Yes,Honest negative for the on-campus section. One unverified repository lead (MSU Online syllabus PDF directory) is worth a targeted re-check.
Vanderbilt University,TN,vanderbilt.edu,BUS 1100 BUS 1350 BUS 2100 (former number),D,No,https://business.vanderbilt.edu/business-minor/business-minor-curriculum/,0,0,0,0,1,catalog,No,No,No,Weak,hard,manual VA (no undergrad business major -> minimal public syllabi; course is a 1.5-cr minor requirement),Yes,"Honest negative. Different course shape than SEC state schools (1.5-cr reporting course, not a semester principles course). Lowest content-fit and lowest public availability."
University of Missouri,MO,missouri.edu,ACCTCY 2026,D,No,https://catalog.missouri.edu/courseofferings/acctcy/,0,0,0,0,1,catalog,No,No,No,Weak,hard,Catalog scraper for course descriptions only; real syllabi/study guides live only on Course Hero/Studocu/Koofers (excluded). Manual/instructor outreach for actual materials.,Yes,Weakest public footprint of the seven. Course-number/year collision makes automated site search unreliable; would need bookstore lookup + manual collection.
University of South Carolina,SC,sc.edu,ACCT 225,D,No,https://academicbulletins.sc.edu/undergraduate/course-descriptions/acct/,0,0,0,0,2,catalog,No,No,No,Weak,hard,Bulletin/major-map scraper for structure; actual ACCT 225 syllabi and Exam 2 study guides (Ch 4-7 seen) surface only on Studocu/Course Hero/Docsity (excluded). Manual collection or instructor outreach for real docs.,Yes,Real syllabus samples exist (e.g. Spring 2018 MWF section) but only on third-party study sites; no .edu-hosted copies found.
University of Oklahoma,OK,ou.edu,ACCT 2013 ACCT 2113,D,No,https://ou-public.courseleaf.com/courses/acct/,0,0,0,0,2,syllabus,No,No,Yes,Weak,medium,CourseLeaf catalog scraper + textbookbrokers.com bookstore API for textbook/ISBN by live section (best textbook signal of the set). Syllabi themselves are only on Course Hero/Studocu/WizePrep (excluded) -> manual for those.,Yes,Public bookstore lookup is the standout automatable asset here; syllabi require manual collection.
University of South Florida,FL,usf.edu,ACG 2021,D,No,https://cloud.usf.edu/academic-programs/details/prefix/ACG/code/2021,0,0,0,0,2,syllabus,No,No,No,Weak,hard,Catalog scraper for structure; real syllabi/study guides only on Studocu/StudySoup/Course Hero/WizePrep (excluded). Instructor outreach (Cainas coordinates the mass sections) likely most efficient for authoritative docs.,Yes,Strong single-coordinator signal (Cainas) makes manual outreach viable; no .edu-hosted syllabus.
"University of California, Los Angeles",CA,ucla.edu (anderson.ucla.edu / economics.ucla.edu),MGMT 1A,D,No,,0,0,0,0,1,syllabus,Yes,Yes,No,Weak,hard,No structured public source; syllabi only on Studocu/Course Hero/CliffsNotes (excluded). Manual collection. Textbook (Wild 9e) confirmable via UCLA Store course-materials lookup as a public adapter.,Yes,"Only campus where a specific textbook+edition surfaced, but from a third-party snippet. 4-unit quarter course. Verify textbook via UCLA Store site."
University of Alabama,AL,ua.edu,AC 210,A,Yes,https://oira.ua.edu/syllabus/{TERMCODE}/{ID}  (redirects -> syllabi.ua.edu -> oiraweb.ua.edu render API),0,0,0,0,2,syllabus,Yes,Yes,No,Moderate,medium,"Dedicated OIRA syllabus adapter: enumerate by term code + id, follow the oira->syllabi->oiraweb redirect chain, and handle the render API + TLS chain (browser-based fetch may be needed). Highest-value structured target in this set.",No,"Best structured source of the seven: a real university-wide public syllabus repository for the exact high-enrollment intro course (2,000+ students/yr). Only obstacle is the fetch/TLS mechanics, not access rights."
