title,campuses,mentions,likely_noise
Intermediate Accounting,11,22,true
Managerial Accounting,11,13,false
Financial and Managerial Accounting,10,21,false
Financial Accounting,9,24,false
Financial & Managerial Accounting,6,11,false
Essentials of Corporate Finance,4,6,false
Financial Accounting: Tools for Business Decision Making,3,7,false
Accounting,3,4,false
Fundamentals of Financial Accounting,3,4,false
Canadian Income Taxation,3,4,true
Principles of Accounting,3,3,false
Accounting Principles,3,3,false
"Intermediate Accounting, Volume One",3,3,true
Financial and Managerial Accounting: Information for Decisions,2,7,false
"Principles of Accounting, Volume 1: Financial Accounting",2,6,false
Financial Accounting: Information for Decisions,2,4,false
Bookkeeping for Dummies,2,4,true
Fundamental Accounting Principles,2,3,false
Financial Accounting: IFRS.,2,2,false
Financial Accounting for MBAs,2,2,false
Advanced Accounting,2,2,false
Business Finance Essentials,2,2,false
"Intermediate Accounting, Volume Two",2,2,true
"Financial Reporting, Financial Statement Analysis, and Valuation",2,2,false
Small Business – An Entrepreneur’s Plan.,2,2,true
ACCOUNTING,1,5,false
Horngren’s Financial and Managerial Accounting with MyAccountingLab,1,3,false
Operations Management,1,3,false
Financial Accounting with Connect,1,3,false
Financial Accounting Fundamentals,1,3,false
