Campus,Campus ID,Slug,SEC,Course Code,Course Title,Course Status,Total Survive Chapters,Expected Chapters,Chapter Coverage %,IFC Count,Panhellenic Count,NPHC Count,Other Council Count,Missing Council Count,Orphan Chapter Count,Duplicate Count,Hidden By Filter Count,Route Issues,Colors Present,Partial Import Evidence,Completeness Score,Priority,Recommended Action
Alabama,b3af67c6-99a5-4677-83d5-aa7d11a89c17,university-of-alabama,yes,AC 210,Introduction To Accounting,AMBIGUOUS,72,72,99,34,19,9,10,0,0,1,0,1,yes,,77,YELLOW,Confirm intro_1 is the FIRST financial course (generic title)
Arizona,cfd87c76-6af7-4e32-b53a-6c091f19f179,university-of-arizona,no,ACCT 200,Introduction to Financial Accounting,VERIFIED_INTERNAL,17,NEEDS_RESEARCH,NEEDS_RESEARCH,3,1,0,13,0,0,0,0,0,yes,,82,GREEN,Ready — verify chapter roster externally when convenient
Arizona State,45315cbf-6a35-4067-bdcf-0ec418fac4f9,arizona-state-university,no,ACC 231,Uses of Accounting Information I,AMBIGUOUS,30,NEEDS_RESEARCH,NEEDS_RESEARCH,12,8,0,10,0,0,0,0,0,yes,,73,YELLOW,Confirm intro_1 is the FIRST financial course (generic title)
Arkansas,e631c8de-37a3-4aae-a948-a64bd20ea4c5,university-of-arkansas,yes,ACCT 2013,Accounting Principles I,AMBIGUOUS,48,NEEDS_RESEARCH,NEEDS_RESEARCH,21,13,9,5,0,0,1,0,1,yes,,77,YELLOW,Confirm intro_1 is the FIRST financial course (generic title)
Auburn,e330e87c-5467-4c05-9d3d-6cd2398de036,auburn-university,yes,ACCT 2110,Principles of Financial Accounting,VERIFIED_INTERNAL,56,NEEDS_RESEARCH,NEEDS_RESEARCH,30,19,7,0,0,0,8,0,1,yes,,80,YELLOW,Merge duplicate national-org rows
Baylor,30dd76fa-6908-407a-b8d4-dcd75a9cfd47,baylor-university,no,ACC 2303,,NEEDS_RESEARCH,34,NEEDS_RESEARCH,NEEDS_RESEARCH,9,9,7,9,0,0,0,0,0,yes,,77,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
Cal Poly,9fcd2964-e58e-496b-9b14-63b9892506cd,california-polytechnic-state-university,no,BUS 2214,,NEEDS_RESEARCH,13,NEEDS_RESEARCH,NEEDS_RESEARCH,13,0,0,0,0,0,0,0,0,yes,Panhellenic under-imported (IFC 13 vs PH 0); roster very thin (13),28,RED,Re-import roster — Panhellenic under-imported (IFC 13 vs PH 0); roster very thin (13)
Cincinnati,018d6b9d-f168-4e59-9df1-cdc8563ef577,university-of-cincinnati,no,ACCT 2081,Intro to Financial Acct,VERIFIED_INTERNAL,43,NEEDS_RESEARCH,NEEDS_RESEARCH,24,19,0,0,0,0,0,0,0,yes,,89,GREEN,Ready — verify chapter roster externally when convenient
Clemson,b35abe46-764e-4b10-9cb4-d3523dd1a2ee,clemson-university,no,ACCT 2010,Financial Accounting Concepts,VERIFIED_INTERNAL,48,NEEDS_RESEARCH,NEEDS_RESEARCH,23,14,8,3,0,0,0,0,0,yes,,100,GREEN,Ready — verify chapter roster externally when convenient
Colorado,be0aadc8-b5e3-4af6-a75f-7284af0885f3,university-of-colorado-boulder,no,BCOR 2203,Principles of Financial Accounting,VERIFIED_INTERNAL,16,NEEDS_RESEARCH,NEEDS_RESEARCH,9,7,0,0,0,0,0,0,0,yes,,75,YELLOW,Ready — verify chapter roster externally when convenient
