Campus,State,Course Code,Current Professors,Priority,Reason,Estimated API Cost,Estimated Professor Yield
Park University,MO,ACCT (intro/intermediate),0,P1,strategic market; tier_1; adoption x1583; 0 professors on file,$0.04,8-25
"University of California, Los Angeles",CA,ACCT (intro/intermediate),1,P1,high market priority; tier_2; enrollment 33k; adoption x165; grad accounting program; only 1 on file,$0.09,30-90
Texas A&M University,TX,ACCT (intro/intermediate),75,P2,high market priority; tier_2; SEC (large Greek/athletic); adoption x117; grad accounting program; already 75 on file,$0.09,30-90
Houston Community College System,TX,ACCT (intro/intermediate),0,P2,high market priority; tier_2; adoption x199; 0 professors on file,$0.04,8-25
Hawaii Pacific University,HI,ACCT (intro/intermediate),2,P2,high market priority; tier_2; adoption x224; grad accounting program; only 2 on file,$0.06,15-45
University of South Florida,FL,ACCT (intro/intermediate),15,P2,high market priority; tier_2; enrollment 37k; adoption x104; grad accounting program; already 15 on file,$0.09,30-90
The University of Texas at Arlington,TX,ACCT (intro/intermediate),25,P2,high market priority; tier_2; enrollment 32k; adoption x138; grad accounting program; already 25 on file,$0.09,30-90
The University of Texas at Austin,TX,ACCT (intro/intermediate),1,P2,medium market priority; enrollment 43k; adoption x50; grad accounting program; only 1 on file,$0.09,30-90
Lone Star College,TX,ACCT (intro/intermediate),0,P2,medium market priority; enrollment 45k; adoption x54; 0 professors on file,$0.09,30-90
University of Florida,FL,ACCT (intro/intermediate),64,P3,SEC (large Greek/athletic); Student-Ready; enrollment 36k; adoption x40; grad accounting program; already 64 on file,$0.09,30-90
Florida Atlantic University,FL,ACCT (intro/intermediate),3,P3,medium market priority; enrollment 24k; adoption x15; grad accounting program; only 3 on file,$0.09,30-90
University of Wisconsin–Madison,WI,ACCT (intro/intermediate),14,P3,medium market priority; enrollment 37k; adoption x17; grad accounting program,$0.09,30-90
University of Southern California,CA,ACCT (intro/intermediate),17,P3,medium market priority; Student-Ready; enrollment 20k; adoption x39; grad accounting program; already 17 on file,$0.09,30-90
Auburn University,AL,ACCT (intro/intermediate),14,P3,SEC (large Greek/athletic); active product campus; enrollment 27k; grad accounting program,$0.06,15-45
Indiana University Bloomington,IN,ACCT (intro/intermediate),0,P3,enrollment 38k; adoption x5; grad accounting program; 0 professors on file,$0.09,30-90
University of Texas at Austin,TX,ACCT (intro/intermediate),22,P3,SEC (large Greek/athletic); active product campus; enrollment 43k; grad accounting program; already 22 on file,$0.09,30-90
"University of Tennessee, Knoxville",TN,ACCT (intro/intermediate),51,P3,SEC (large Greek/athletic); active product campus; enrollment 30k; grad accounting program; already 51 on file,$0.09,30-90
Amberton University,TX,ACCT (intro/intermediate),0,P3,medium market priority; adoption x9; 0 professors on file,$0.04,3-12
Casper College,WY,ACCT (intro/intermediate),0,P3,medium market priority; adoption x73; 0 professors on file,$0.04,3-12
University of Minnesota System,MN,ACCT (intro/intermediate),0,P3,medium market priority; adoption x46; 0 professors on file,$0.04,8-25
University of Houston - Victoria,TX,ACCT (intro/intermediate),0,P3,medium market priority; adoption x95; 0 professors on file,$0.04,3-12
Alamo Colleges,TX,ACCT (intro/intermediate),0,P3,medium market priority; adoption x330; 0 professors on file,$0.04,8-25
Sul Ross State University,TX,ACCT (intro/intermediate),0,P3,medium market priority; adoption x23; 0 professors on file,$0.04,8-25
Coast Community College District,CA,ACCT (intro/intermediate),0,P3,medium market priority; adoption x24; 0 professors on file,$0.04,8-25
Dallas County Community College District,TX,ACCT (intro/intermediate),0,P3,medium market priority; adoption x287; 0 professors on file,$0.04,8-25
Dallas Baptist University,TX,ACCT (intro/intermediate),3,P3,medium market priority; adoption x22; grad accounting program; only 3 on file,$0.06,15-45
University of North Texas,TX,ACCT (intro/intermediate),0,P3,enrollment 34k; grad accounting program; 0 professors on file,$0.09,30-90
Western Kentucky University,KY,ACCT (intro/intermediate),11,P3,medium market priority; adoption x15; grad accounting program,$0.09,30-90
Texas State University,TX,ACCT (intro/intermediate),23,P3,medium market priority; enrollment 36k; adoption x121; grad accounting program; already 23 on file,$0.09,30-90
Stephen F. Austin State University,TX,ACCT (intro/intermediate),13,P3,medium market priority; adoption x90; grad accounting program,$0.09,30-90
Vanderbilt University,TN,ACCT (intro/intermediate),14,P3,SEC (large Greek/athletic); active product campus; grad accounting program,$0.06,15-45
Niagara College,ON,ACCT (intro/intermediate),0,P3,NON-US (RMP/accounting-tuned=weak); high market priority; tier_2; adoption x140; 0 professors on file,$0.04,8-25
British Columbia Institute of Technology,BC,ACCT (intro/intermediate),0,P3,NON-US (RMP/accounting-tuned=weak); high market priority; tier_2; adoption x347; 0 professors on file,$0.04,8-25
Sheridan College,ON,ACCT (intro/intermediate),0,P3,NON-US (RMP/accounting-tuned=weak); high market priority; tier_2; adoption x349; 0 professors on file,$0.04,8-25
University of Arkansas,AR,ACCT (intro/intermediate),45,P3,SEC (large Greek/athletic); active product campus; enrollment 29k; grad accounting program; already 45 on file,$0.09,30-90
