campus_id,campus,state,course_code,market_opportunity,tier,paid_competitors_found,intro1_competitors_found,local_competitors_found,course_specific_competitors,strongest_competitor,strongest_competitor_type,strongest_competitor_price,proven_paid_market,intro_accounting_paid_market_status,paid_academic_market_status,market_validation,university_free_support,competitor_ads_observed,general_accounting_ads_observed,brand_conquest_candidate,nonbrand_search_candidate,top_competitor_keyword_1,top_competitor_keyword_2,top_nonbrand_keyword_1,top_nonbrand_keyword_2,searches_run,sources,data_confidence
b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,96.1,1,15,13,4,4,ac210ua.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,YES,ac210ua.com,ac210ua.com accounting,AC 210 exam 1,AC 210 practice exam,13,ac210ua.com; tutoringprof.com; appliedtutoring.com; quizlet.com; uworld.com; wyzant.com; cliffsnotes.com; coursehero.com,high
3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,95.3,1,15,15,5,4,acct2101uga.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,YES,acct2101uga.com,acct2101uga.com accounting,ACCT 2101 exam 1,ACCT 2101 practice exam,13,acct2101uga.com; frogtutoring.com; varsitytutors.com; superprof.com; quizlet.com; wizeprep.com; coursehero.com; scribd.com,high
9220ee33-22b4-46b6-9ca5-86528da2ec47,CUNY-Baruch College New,NY,,95,1,5,2,0,0,Superprof,TUTOR_MARKETPLACE,,LOW,MODERATE,WEAK,WHITE_SPACE,YES,NO,NO,NO,PARTIAL,,,CUNY-Baruch College New financial accounting exam,CUNY-Baruch College New accounting tutoring,8,superprof.ng; universitytutor.com; bestvalueschools.com; emerald.com; arxiv.org,high
9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,93.6,1,14,11,2,1,Course Hero,NOTES_MARKETPLACE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,PARTIAL,FrogTutoring,FrogTutoring accounting,University of Tennessee financial accounting exam,University of Tennessee accounting tutoring,8,frogtutoring.com; utdailybeacon.com; quizlet.com; studocu.com; coursehero.com; wyzant.com; abebooks.com; studysoup.com,high
9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,92.7,1,18,16,4,3,acct200ku.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,YES,YES,YES,YES,acct200ku.com,acct200ku.com accounting,ACCT 200 exam 1,ACCT 200 practice exam,13,wyzant.com; poetsandquantsforundergrads.com; quizlet.com; coursehero.com; knoxtech.org; studocu.com; acct200ku.com; studysoup.com,high
e330e87c-5467-4c05-9d3d-6cd2398de036,Auburn University,AL,ACCT 2110,92.3,1,17,15,6,4,acct2110.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,YES,acct2110.com,acct2110.com accounting,ACCT 2110 exam 1,ACCT 2110 practice exam,13,joinknack.com; universitytutor.com; wyzant.com; tutorselect.com; quizlet.com; stuvia.com; docsity.com; coursehero.com,high
9aad4852-d3b1-4091-8157-acf427d8c88a,University of Houston,TX,ACCT 2301,92.1,1,15,14,7,4,acct2301.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,YES,acct2301.com,acct2301.com accounting,ACCT 2301 exam 1,ACCT 2301 practice exam,13,wyzant.com; frogtutoring.com; wiingy.com; acct2301.com; atmtutoring.com; campuslabs.com; joinknack.com; quizlet.com,high
e631c8de-37a3-4aae-a948-a64bd20ea4c5,University of Arkansas,AR,ACCT 2013,91.4,1,18,16,4,3,acct2013msu.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,YES,acct2013msu.com,acct2013msu.com accounting,ACCT 2013 exam 1,ACCT 2013 practice exam,13,insighttutoring.online; thrivetutoringnwa.org; superprof.com; quizlet.com; coursehero.com; acct2013msu.com; wizeprep.com; varsitytutors.com,high
a20b5f96-7a39-4a87-8fc8-30a577bac114,Florida International University,FL,ACG 2021,91.1,1,16,13,6,5,acg2021fiu.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,YES,acg2021fiu.com,acg2021fiu.com accounting,ACG 2021 exam 1,ACG 2021 practice exam,13,wyzant.com; frogtutoring.com; acg2021fiu.com; princetonreview.com; universitytutor.com; varsitytutors.com; internationalstudent.com; stuvia.com,high
1f69dafc-34ac-4a01-bb90-b66e9185005b,Virginia Poly Inst & St Un,VA,,90.9,1,7,6,2,0,acis2115.com,LOCAL_CAMPUS_TUTORING,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,PARTIAL,acis2115.com,acis2115.com accounting,Virginia Poly Inst & St Un financial accounting exam,Virginia Poly Inst & St Un accounting tutoring,8,studysoup.com; docsity.com; acis2115.com; wizeprep.com; coursehero.com; studocu.com; cliffsnotes.com,high
a44a848d-4281-4780-8e29-955221802623,Liberty University,VA,ACCT 211,90.4,1,18,16,6,3,acct2300.com,COURSE_SPECIFIC_SITE,,HIGH,STRONG,STRONG,CROWDED,YES,NO,NO,YES,YES,Wize Prep,Wize Prep accounting,ACCT 211 exam 1,ACCT 211 practice exam,13,frogtutoring.com; princetonreview.com; quizlet.com; augusoft.net; wizeprep.com; study.com; cliffsnotes.com; myworkdayjobs.com,high
