brand,domain,model_type,campuses_served,estimated_market_strength,candidate_keyword_1,candidate_keyword_2,candidate_keyword_3,candidate_keyword_4,example_campuses,note
Course Hero,coursehero.com,NATIONAL_PLATFORM,4,MEDIUM,Course Hero,Course Hero accounting,Course Hero University of Alabama,Course Hero reviews,"University of Alabama; University of Georgia; University of Tennessee; University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
Studocu,studocu.com,NATIONAL_PLATFORM,4,HIGH,Studocu,Studocu accounting,Studocu University of Alabama,Studocu reviews,"University of Alabama; University of Georgia; University of Tennessee; University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
acct2001.com,acct2001.com,COURSE_SPECIFIC_TUTORING_PLATFORM,2,HIGH,acct2001.com,acct2001.com accounting,acct2001.com University of Georgia,acct2001.com reviews,"University of Georgia; University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
princetonreview.com,princetonreview.com,LOCAL_REVIEW_CENTER,2,MEDIUM,princetonreview.com,princetonreview.com accounting,princetonreview.com University of Tennessee,princetonreview.com reviews,"University of Tennessee; University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
ac210ua.com,ac210ua.com,STUDY_EDGE_MODEL,1,HIGH,ac210ua.com,ac210ua.com accounting,ac210ua.com University of Alabama,ac210ua.com reviews,University of Alabama,INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
tutoringprof.com,tutoringprof.com,LOCAL_REVIEW_CENTER,1,MEDIUM,tutoringprof.com,tutoringprof.com accounting,tutoringprof.com University of Alabama,tutoringprof.com reviews,University of Alabama,INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
acct2101uga.com,acct2101uga.com,STUDY_EDGE_MODEL,1,HIGH,acct2101uga.com,acct2101uga.com accounting,acct2101uga.com University of Georgia,acct2101uga.com reviews,University of Georgia,INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
superprof.ng,superprof.ng,LOCAL_REVIEW_CENTER,1,MEDIUM,superprof.ng,superprof.ng accounting,superprof.ng CUNY-Baruch College New,superprof.ng reviews,CUNY-Baruch College New,INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
bufftutor.com,bufftutor.com,LOCAL_REVIEW_CENTER,1,MEDIUM,bufftutor.com,bufftutor.com accounting,bufftutor.com University of Tennessee,bufftutor.com reviews,University of Tennessee,INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
tscpa.com,tscpa.com,LOCAL_REVIEW_CENTER,1,MEDIUM,tscpa.com,tscpa.com accounting,tscpa.com University of Tennessee,tscpa.com reviews,University of Tennessee,INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
knoxtech.org,knoxtech.org,LOCAL_REVIEW_CENTER,1,MEDIUM,knoxtech.org,knoxtech.org accounting,"knoxtech.org University of Tennessee, Knoxville",knoxtech.org reviews,"University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
acct200ku.com,acct200ku.com,COURSE_SPECIFIC_TUTORING_PLATFORM,1,HIGH,acct200ku.com,acct200ku.com accounting,"acct200ku.com University of Tennessee, Knoxville",acct200ku.com reviews,"University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
givecampus.com,givecampus.com,LOCAL_REVIEW_CENTER,1,MEDIUM,givecampus.com,givecampus.com accounting,"givecampus.com University of Tennessee, Knoxville",givecampus.com reviews,"University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
higheredjobs.com,higheredjobs.com,LOCAL_REVIEW_CENTER,1,MEDIUM,higheredjobs.com,higheredjobs.com accounting,"higheredjobs.com University of Tennessee, Knoxville",higheredjobs.com reviews,"University of Tennessee, Knoxville",INTERNAL keyword research only — do NOT place competitor trademarks in ad copy
