campus,state,course_code,market_opportunity,intro_accounting_paid_market_status,accounting_competitors,course_specific_sites,strongest_competitor,competitor_domains
University of Alabama,AL,AC 210,96.1,STRONG,15,ac210ua.com; coursehero.com; studocu.com; skoolerstutoring.com,ac210ua.com,ac210ua.com; tutoringprof.com; appliedtutoring.com; quizlet.com; uworld.com; wyzant.com; cliffsnotes.com; coursehero.com; docsity.com; stuvia.com
University of Georgia,GA,ACCT 2101,95.3,STRONG,15,acct2101uga.com; coursehero.com; skoolerstutoring.com; acct2001.com,acct2101uga.com,acct2101uga.com; frogtutoring.com; varsitytutors.com; superprof.com; quizlet.com; wizeprep.com; coursehero.com; scribd.com; universitytutor.com; studysoup.com
CUNY-Baruch College New,NY,,95,MODERATE,5,,Superprof,superprof.ng; universitytutor.com; bestvalueschools.com; emerald.com; arxiv.org
University of Tennessee,TN,,93.6,STRONG,14,coursehero.com,Course Hero,frogtutoring.com; utdailybeacon.com; quizlet.com; studocu.com; coursehero.com; wyzant.com; abebooks.com; studysoup.com; cliffsnotes.com; tutorselect.com
"University of Tennessee, Knoxville",TN,ACCT 200,92.7,STRONG,18,coursehero.com; acct200ku.com; acct2001.com,acct200ku.com,wyzant.com; poetsandquantsforundergrads.com; quizlet.com; coursehero.com; knoxtech.org; studocu.com; acct200ku.com; studysoup.com; stuvia.com; cliffsnotes.com
Auburn University,AL,ACCT 2110,92.3,STRONG,17,coursehero.com; acct2110.com; wizeprep.com; skoolerstutoring.com,acct2110.com,joinknack.com; universitytutor.com; wyzant.com; tutorselect.com; quizlet.com; stuvia.com; docsity.com; coursehero.com; cfmnetwork.com; acct2110.com
University of Houston,TX,ACCT 2301,92.1,STRONG,15,acct2301.com; coursehero.com; acct2331.com; acct2300.com,acct2301.com,wyzant.com; frogtutoring.com; wiingy.com; acct2301.com; atmtutoring.com; campuslabs.com; joinknack.com; quizlet.com; studocu.com; cliffsnotes.com
University of Arkansas,AR,ACCT 2013,91.4,STRONG,18,coursehero.com; acct2013msu.com; wizeprep.com,acct2013msu.com,insighttutoring.online; thrivetutoringnwa.org; superprof.com; quizlet.com; coursehero.com; acct2013msu.com; wizeprep.com; varsitytutors.com; studysoup.com; studocu.com
Florida International University,FL,ACG 2021,91.1,STRONG,16,acg2021fiu.com; stuvia.com; coursehero.com; studocu.com; skoolerstutoring.com,acg2021fiu.com,wyzant.com; frogtutoring.com; acg2021fiu.com; princetonreview.com; universitytutor.com; varsitytutors.com; internationalstudent.com; stuvia.com; joinknack.com; coursehero.com
Virginia Poly Inst & St Un,VA,,90.9,STRONG,7,,acis2115.com,studysoup.com; docsity.com; acis2115.com; wizeprep.com; coursehero.com; studocu.com; cliffsnotes.com
Liberty University,VA,ACCT 211,90.4,STRONG,18,wizeprep.com; coursehero.com; acct2300.com,acct2300.com,frogtutoring.com; princetonreview.com; quizlet.com; augusoft.net; wizeprep.com; study.com; cliffsnotes.com; myworkdayjobs.com; picktime.com; tutor.com
Clemson University,SC,ACCT 2010,90.1,STRONG,18,wizeprep.com; coursehero.com; acct2001.com,acct2001.com,tutoringprof.com; universitytutor.com; com.au; frogtutoring.com; wizeprep.com; unifers.ai; quizlet.com; gradebuddy.com; coursehero.com; cliffsnotes.com
