query_family,searches_run,useful_results,new_competitors,new_acct_competitors,ads_seen,yield_per_search,verdict
school_acct_tutoring,1066,1733,1695,1192,6,1.59,EXPAND
school_exam_review,1066,1763,1526,1138,0,1.43,KEEP
course_exam_review,395,2324,1041,917,0,2.64,EXPAND
course_tutoring,463,1301,998,812,29,2.16,EXPAND
paid_tutoring,800,1322,609,286,2,0.76,KEEP
school_study_guide,800,1354,558,453,0,0.7,KEEP
fin_acct_tutoring,800,1354,412,258,1,0.52,REDUCE
ad_probe_course_tutoring,164,592,332,282,24,2.02,EXPAND
course_practice_exam,164,1104,184,146,0,1.12,KEEP
school_exam_prep,300,682,164,134,0,0.55,REDUCE
school_practice_exam,300,872,152,130,0,0.51,REDUCE
school_review_videos,300,356,129,61,0,0.43,REDUCE
ad_probe_course_acct,164,304,24,24,12,0.15,REDUCE
