competitor,domain,model_type,competitor_type,campuses_served,accounting_supported,course_specific_site,professor_specific,video_reviews,practice_exams,exam_reviews,one_on_one,sponsored_anywhere,estimated_market_strength,top_campuses,sources
Course Hero,coursehero.com,NATIONAL_PLATFORM,NOTES_MARKETPLACE,445,YES,YES,UNKNOWN,YES,YES,YES,,NO,HIGH,"University of Alabama; University of Georgia; University of Tennessee; University of Tennessee, Knoxville; Auburn University",https://www.coursehero.com/sitemap/schools/110-University-of-Alabama/courses/245426-AC210/; https://www.coursehero.com/sitemap/schools/642-University-Of-Georgia/courses/6730205-ACCT1160/; https://www.coursehero.com/sitemap/schools/2200-The-University-of-Tennessee-Knoxville/courses/4302580-ACCT203/
Studocu,studocu.com,NATIONAL_PLATFORM,NOTES_MARKETPLACE,310,YES,YES,UNKNOWN,YES,YES,YES,YES,NO,HIGH,"University of Alabama; University of Georgia; University of Tennessee; University of Tennessee, Knoxville; Auburn University",https://www.studocu.com/en-us/document/university-of-alabama/intro-to-accounting/ac210-exam-3-study-guide1/83635462; https://www.studocu.com/en-us/document/university-of-north-carolina-at-pembroke/foundations-of-financial-and-managerial-accounting/test-review-exam-1-accoutning/7352063; https://www.studocu.com/en-us/document/the-university-of-tennessee-knoxville/introduction-to-financial-and-managerial-accounting/acct-101-exam-review-topics-and-format-breakdown/139193373
Quizlet,quizlet.com,NATIONAL_PLATFORM,NOTES_MARKETPLACE,301,YES,YES,UNKNOWN,,YES,YES,,NO,HIGH,"University of Alabama; University of Georgia; University of Tennessee; University of Tennessee, Knoxville; Auburn University",https://quizlet.com/429949007/accounting-210-exam-1-university-of-alabama-flash-cards/; https://quizlet.com/714724195/uga-accounting-entrance-exam-flash-cards/; https://quizlet.com/877836058/accounting-203-utk-final-exam-flash-cards/
FrogTutoring,frogtutoring.com,MULTI_CAMPUS_REGIONAL,MULTI_CAMPUS_TUTORING,258,YES,NO,YES,,,,YES,NO,HIGH,University of Georgia; University of Tennessee; University of Houston; Florida International University; Liberty University,https://frogtutoring.com/tutors/university-of-georgia/finance; https://frogtutoring.com/tutors/university-of-tennessee--martin/accounting; https://frogtutoring.com/tutors/university-of-houston--victoria/accounting
Scribd,scribd.com,NATIONAL_PLATFORM,NOTES_MARKETPLACE,154,YES,YES,UNKNOWN,,YES,YES,,NO,HIGH,"University of Georgia; University of Tennessee, Knoxville; Florida International University; Calif State Univ, Northridge; University of Houston - Downtown",https://www.scribd.com/doc/106919401/Tutoring-flyer-for-Business-Students; https://www.scribd.com/document/81223080/Acct-200-Chapter-1-Test; https://www.scribd.com/presentation/925656851/ACG-2021-Exam-1-Review-Session
Stuvia,stuvia.com,NATIONAL_PLATFORM,NOTES_MARKETPLACE,107,YES,YES,UNKNOWN,,YES,YES,,NO,HIGH,"University of Alabama; University of Tennessee; University of Tennessee, Knoxville; Auburn University; Florida International University",https://www.stuvia.com/en-us/search?page=2&s=ac%20210%20exam%202; https://www.stuvia.com/doc/10912428/utk-acct-203-exam-1-pdf-accounting-study-guide-en-practice-test; https://www.stuvia.com/en-us/doc/11613723/acct-2110-exam-1-auburn-university-practice-questions-study-guide-en-accounting-exam-review-2026
Wize Prep,wizeprep.com,MULTI_CAMPUS_REGIONAL,MULTI_CAMPUS_TUTORING,89,YES,YES,UNKNOWN,YES,YES,YES,YES,NO,HIGH,University of Georgia; Auburn University; University of Arkansas; Virginia Poly Inst & St Un; Liberty University,https://www.wizeprep.com/blog/online-exam-prep-for-university-of-georgia-students; https://www.wizeprep.com/courses/Acct2110-university-of-new-mexico-main-campus; https://www.wizeprep.com/courses/Acct2013-university-of-arkansas-at-fayetteville
Knack,joinknack.com,MULTI_CAMPUS_REGIONAL,MULTI_CAMPUS_TUTORING,41,YES,YES,UNKNOWN,,,YES,YES,NO,HIGH,Auburn University; University of Houston; Florida International University; Temple University; University of South Florida,https://auburn.joinknack.com/; https://app.joinknack.com/user/u_01k3xtam83m0jsxwx9842jwksf; https://app.joinknack.com/sponsorship/U3BvbnNvcnNoaXBUeXBlOnc1azdxNQ==/STUDENT
acct2301.com,acct2301.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,22,YES,YES,YES,YES,YES,,,NO,HIGH,University of Houston; University of Houston - Downtown; The University of Texas at Dallas; Texas State University; Tarleton State University,https://acct2301.com/
acc201uky.com,acc201uky.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,20,YES,YES,UNKNOWN,YES,YES,YES,YES,NO,HIGH,University of Kentucky; Penn State University Univ; Univ of Central Florida; University of Mississippi; San Diego State University,https://acc201uky.com/
acct201a.com,acct201a.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,20,YES,YES,YES,YES,YES,,,NO,HIGH,Montclair State University; Old Dominion University; Towson University; University of Louisville; Louisiana Tech University,https://acct201a.com/topics/intro; https://acct201a.com/
Skoolers Tutoring,skoolerstutoring.com,MULTI_CAMPUS_REGIONAL,MULTI_CAMPUS_TUTORING,15,YES,YES,UNKNOWN,,YES,YES,YES,NO,HIGH,University of Alabama; University of Georgia; Auburn University; Florida International University; Univ of Central Florida,https://www.skoolerstutoring.com/courses/UA/AC210; https://www.skoolerstutoring.com/courses/UGA/ACCT2101; https://www.skoolerstutoring.com/courses/AU/ACCT2110
acct2001.com,acct2001.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,14,YES,YES,UNKNOWN,YES,YES,YES,,NO,HIGH,"University of Georgia; University of Tennessee, Knoxville; Clemson University; University of North Texas; Temple University",https://acct2001.com/
emaze.com,emaze.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,14,YES,NO,UNKNOWN,,YES,,,NO,MEDIUM,"University of Kentucky; Univ of Central Florida; University of Nevada, Las Vegas; Missouri State University; Univ No Carolina Greensboro",https://www.emaze.com/@afzirtzl/ACC-201-Bright-Tutoring%2Facc201-com
Becker,becker.com,NATIONAL_PLATFORM,EXAM_PREP_PLATFORM,13,YES,NO,YES,,YES,YES,,NO,HIGH,Utah Valley University; Temple University; Franklin University; Georgia State University; Uof Missouri - Columbia,https://www.becker.com/blog/educator/helping-students-re-enter-the-workforce-stronger-than-ever; https://www.becker.com/blog/educator/designing-a-program-for-the-real-world; https://www.becker.com/cpe/catalog/the-future-of-the-accounting-and-tax-profession
acct2101uga.com,acct2101uga.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,11,YES,YES,UNKNOWN,YES,YES,,,NO,HIGH,University of Georgia; Temple University; Texas Tech University; Kennesaw State University; University of North Carolina at Charlotte,https://acct2101uga.com/
acct2300.com,acct2300.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,11,YES,YES,UNKNOWN,YES,YES,YES,,NO,HIGH,University of Houston; Liberty University; Texas Tech University; The University of Texas at Dallas; Tarleton State University,https://acct2300.com/
UWorld,uworld.com,STUDY_EDGE_MODEL,EXAM_PREP_PLATFORM,10,YES,NO,YES,YES,,YES,,NO,HIGH,"University of Alabama; Brigham Young University; University of Nevada, Reno; Univ of Missouri - St. Louis St.; University of North Alabama",https://accounting.uworld.com/blog/category/cpa-review/page/27/; https://accounting.uworld.com/cpa-review/lc/cpa-videos/video/page/2/; http://events.uworld.com/tbs-mastery-series
Gleim,gleim.com,STUDY_EDGE_MODEL,EXAM_PREP_PLATFORM,10,YES,NO,YES,YES,YES,YES,,NO,HIGH,University of Alabama; University of Florida; University of Texas at Austin; The University of Texas at Austin; The University of Texas at Dallas,https://www.gleim.com/cpa-review/blog/page/12/?post=574&srsltid=AfmBOoogjmECMJzEo4999VvPf9ek9PXQnJbgimaDxHrLIBtZGMS-Ly44; https://www.gleim.com/cpa-review/blog/accounting-at-the-university-of-florida/?srsltid=AfmBOorXkaQ1E6-Lt1K7iZdj4JIiCg3ZW-xs4MZoN5QpFsahQSvCXvOu; https://www.gleim.com/accounting/blog/jia-yee-pua-cpa-classes-for-the-cpa-exam/?srsltid=AfmBOooyc4NjgLwagvsuaxiD2Cuc1CNeSUncmMT5HkoqEzYqDf0cT8p6
acct200ku.com,acct200ku.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,9,YES,YES,UNKNOWN,YES,YES,,,NO,HIGH,"University of Tennessee, Knoxville; University of Arizona; University of Miami; Western Kentucky University; So Illinois, Edwardsville",https://acct200ku.com/; https://acct200ku.com/guides
jeopardylabs.com,jeopardylabs.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,9,YES,NO,UNKNOWN,,YES,YES,,NO,MEDIUM,Clemson University; University of North Texas; North Carolina State University; Univ of Nebraska at Omaha; University of Massachusetts Lowell,https://jeopardylabs.com/play/acct-2010-exam-1-review-2; https://jeopardylabs.com/play/acc-210-exam-2-review-session
accy201.com,accy201.com,OTHER,INDIVIDUAL_OR_LOCAL,9,YES,YES,UNKNOWN,YES,YES,,YES,NO,HIGH,University of Kentucky; Penn State University Univ; Univ of Central Florida; University of Mississippi; San Diego State University,https://accy201.com/
busa201.com,busa201.com,INDIVIDUAL_TUTOR_SCALED,LOCAL_CAMPUS_TUTORING,8,YES,YES,UNKNOWN,YES,YES,,YES,NO,HIGH,Indiana University Bloomington; Indiana University; Indiana University Indianapolis; Purdue Univ Fort Wayne Fort; IUSB Indiana Uat South Bend South,https://busa201.com/
tierneyeducation.com,tierneyeducation.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,8,YES,NO,UNKNOWN,,,,,NO,MEDIUM,Penn State Univ-Behrend; Penn State Abington; Penn State Berks; Pennsylvania State University; Penn State York,https://www.tierneyeducation.com/courses
beenews.com,beenews.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,7,YES,NO,UNKNOWN,,,YES,,NO,MEDIUM,University of Houston; The University of Texas at Dallas; Tarleton State University; The University of Texas at Arlington; Sam Houston State University,https://beeclassifieds.beenews.com/info/2TW/107/DgiEOC/Acct2301Exam1
acg2021fiu.com,acg2021fiu.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,7,YES,YES,UNKNOWN,YES,YES,,YES,NO,HIGH,Florida International University; University of South Florida; Florida Atlantic University; University of Florida; Florida Gulf Coast University,https://acg2021fiu.com/; https://acg2021fiu.com/resources/formulas
fennie.ai,fennie.ai,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,7,YES,NO,YES,,YES,YES,,NO,MEDIUM,Indiana University Bloomington; Indiana University; Indiana University Indianapolis; IUSB Indiana Uat South Bend South; Indiana University Southeast,https://fennie.ai/universities/indiana-university/a201
breakroom.cc,breakroom.cc,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,6,YES,NO,UNKNOWN,,,,,NO,MEDIUM,Utah Valley University; University of North Georgia; Troy University; Rochester Inst of Technology; Lipscomb University,https://www.breakroom.cc/en-us/jobs/listing/39877919-utah-valley-university-student-accounting-tutor-orem-utah; https://www.breakroom.cc/en-us/jobs/listing/39614060-university-of-north-georgia-stem-student-peer-tutor-federal; https://www.breakroom.cc/en-us/jobs/listing/25703209-troy-university-workship-learning-center-peer-tutor-stem-600
accounting.com,accounting.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,6,YES,NO,UNKNOWN,,,YES,,NO,MEDIUM,University of Iowa Iowa; University of Kentucky; University of Missouri–St. Louis; University of South Dakota; Rhode Island College,https://www.accounting.com/states/iowa/; https://www.accounting.com/states/kentucky/; https://www.accounting.com/degrees/accounting/graduate-certificate/best-programs/
icangotocollege.com,icangotocollege.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,6,YES,NO,UNKNOWN,,,,,NO,MEDIUM,Pasadena City College; Santa Rosa Junior College; Cuesta College; Laney College; Evergreen Valley College,https://icangotocollege.com/colleges/pasadena-city; https://icangotocollege.com/colleges/santa-rosa; https://icangotocollege.com/colleges/cuesta
poetsandquantsforundergrads.com,poetsandquantsforundergrads.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,5,YES,NO,UNKNOWN,,,,,NO,MEDIUM,"University of Tennessee; University of Tennessee, Knoxville; Southern Methodist University; Providence College; University of Richmond",https://poetsandquantsforundergrads.com/students/100-best-brightest-undergraduate-business-majors-of-2025/2/; https://poetsandquantsforundergrads.com/news/2024-best-undergraduate-professors-amelia-hart-university-of-tennessee-knoxville-haslam-college-of-business/; https://poetsandquantsforundergrads.com/news/2017-top-40-undergraduate-professors-barry-bryan-smu-cox/
theatomicburger.com,theatomicburger.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,5,YES,NO,UNKNOWN,,YES,YES,,NO,MEDIUM,Florida International University; University of South Florida; Florida Atlantic University; University of Florida; Florida Gulf Coast University,https://mail.theatomicburger.com/manual/yi9DlE8AD271/Acg-2021-Exam-1
acct229.com,acct229.com,STUDY_EDGE_MODEL,COURSE_SPECIFIC_SITE,5,YES,YES,UNKNOWN,YES,YES,YES,,NO,HIGH,Texas A&M University Coll; University of Delaware; Montclair State University; Texas A&M University; Texas A&M - Corpus Christi Corp,https://acct229.com/
smapse.com,smapse.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,5,YES,NO,UNKNOWN,,,,,NO,MEDIUM,San Jose State University San; Saint Louis University St.; St. Cloud State University Saint; Yeshiva University New; Pepperdine Univ-Malibu,https://smapse.com/san-jose-state-university-california-state-university-san-jose/; https://smapse.com/saint-louis-university-st-louis-university/; https://smapse.com/st-cloud-state-university-saint-cloud-state-university/
insidehighered.com,insidehighered.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,5,YES,NO,UNKNOWN,,,,,NO,MEDIUM,University of North Georgia; Sam Houston State University; University of North Carolina at Greensboro; Univ of Central Oklahoma; University of Richmond,https://careers.insidehighered.com/job/3523877/math-tutor/; https://careers.insidehighered.com/job/3543477/student-employee-dept-of-accounting-accounting-tutor/; https://careers.insidehighered.com/job/3525722/assistant-professor-accounting/
another71.com,another71.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,5,YES,NO,UNKNOWN,,,YES,,NO,MEDIUM,Northern Illinois Univ; Univ of Nebraska at Omaha; University of Colorado Colorado Springs; Radford University; Austin Community College,https://forum.another71.com/forum/welcome-cpa-exam-forum/ot-off-topic/topic/debra-hopkins-northern-illinois-university/; https://forum.another71.com/forum/cpa-review-courses/becker/topic/was-wondering-if-becker-was-worth-worth-roughly-an-extra-1200-over-yaeger/; https://forum.another71.com/forum/passed-cpa-exam/cpa-license-requirements/topic/education-in-lieu-of-work-experience/
coursedog.com,coursedog.com,LOCAL_REVIEW_CENTER,LOCAL_CAMPUS_TUTORING,5,YES,NO,UNKNOWN,,,,,NO,MEDIUM,Uof Minnesota Duluth; University of Richmond; University of Montana; University of Wisconsin–Stevens Point; St. Mary's University San,https://umd.catalog.prod.coursedog.com/departments/10369/overview; https://qarichmond.coursedog.com/pages/9KFyEg3nykftn7gAGR5H; https://archive-umt-catalog-19-20.coursedog.com/colleges-schools-programs/business/accounting-finance/bs-accounting
