campus_name,state,national_org,chapter_designation,letters
University of Alabama,AL,Kappa Kappa Gamma,Gamma Pi,ΚΚΓ
Auburn University,AL,Kappa Kappa Gamma,Epsilon Eta,ΚΚΓ
University of Arizona,AZ,Kappa Kappa Gamma,Gamma Zeta,ΚΚΓ
Arizona State University,AZ,Kappa Kappa Gamma,Epsilon Delta,ΚΚΓ
University of Arkansas,AR,Kappa Kappa Gamma,Gamma Nu,ΚΚΓ
University of California Berkeley,CA,Kappa Kappa Gamma,Pi,ΚΚΓ
University of California Los Angeles,CA,Kappa Kappa Gamma,Gamma Xi,ΚΚΓ
University of California Davis,CA,Kappa Kappa Gamma,,ΚΚΓ
University of California San Diego,CA,Kappa Kappa Gamma,,ΚΚΓ
University of California Santa Barbara,CA,Kappa Kappa Gamma,,ΚΚΓ
San Diego State University,CA,Kappa Kappa Gamma,,ΚΚΓ
University of Southern California,CA,Kappa Kappa Gamma,Delta Tau,ΚΚΓ
Pepperdine University,CA,Kappa Kappa Gamma,,ΚΚΓ
University of Colorado Boulder,CO,Kappa Kappa Gamma,Beta Mu,ΚΚΓ
Colorado State University,CO,Kappa Kappa Gamma,,ΚΚΓ
University of Connecticut,CT,Kappa Kappa Gamma,,ΚΚΓ
George Washington University,DC,Kappa Kappa Gamma,,ΚΚΓ
University of Florida,FL,Kappa Kappa Gamma,Epsilon Phi,ΚΚΓ
Florida State University,FL,Kappa Kappa Gamma,Epsilon Zeta,ΚΚΓ
University of Central Florida,FL,Kappa Kappa Gamma,,ΚΚΓ
University of Miami,FL,Kappa Kappa Gamma,,ΚΚΓ
Rollins College,FL,Kappa Kappa Gamma,Delta Epsilon,ΚΚΓ
University of Georgia,GA,Kappa Kappa Gamma,Delta Upsilon,ΚΚΓ
Emory University,GA,Kappa Kappa Gamma,Epsilon Epsilon,ΚΚΓ
University of Idaho,ID,Kappa Kappa Gamma,Beta Kappa,ΚΚΓ
University of Illinois Urbana-Champaign,IL,Kappa Kappa Gamma,Beta Lambda,ΚΚΓ
Northwestern University,IL,Kappa Kappa Gamma,Upsilon,ΚΚΓ
Indiana University Bloomington,IN,Kappa Kappa Gamma,Delta,ΚΚΓ
Purdue University,IN,Kappa Kappa Gamma,Gamma Delta,ΚΚΓ
DePauw University,IN,Kappa Kappa Gamma,Iota,ΚΚΓ
Butler University,IN,Kappa Kappa Gamma,Mu,ΚΚΓ
University of Iowa,IA,Kappa Kappa Gamma,Beta Zeta,ΚΚΓ
Iowa State University,IA,Kappa Kappa Gamma,,ΚΚΓ
Drake University,IA,Kappa Kappa Gamma,Gamma Theta,ΚΚΓ
University of Kansas,KS,Kappa Kappa Gamma,Omega,ΚΚΓ
Kansas State University,KS,Kappa Kappa Gamma,Gamma Alpha,ΚΚΓ
University of Kentucky,KY,Kappa Kappa Gamma,Beta Chi,ΚΚΓ
Louisiana State University,LA,Kappa Kappa Gamma,Delta Iota,ΚΚΓ
Tulane University,LA,Kappa Kappa Gamma,,ΚΚΓ
University of Maryland,MD,Kappa Kappa Gamma,Gamma Psi,ΚΚΓ
University of Michigan,MI,Kappa Kappa Gamma,Beta Delta,ΚΚΓ
