campus,national_org,chapter_designation,council,letters
University of Mississippi,Alpha Tau Omega,Delta Psi,IFC,ΑΤΩ
University of Mississippi,Beta Theta Pi,Beta Beta,IFC,ΒΘΠ
University of Mississippi,Chi Psi,Alpha Gamma,IFC,ΧΨ
University of Mississippi,Delta Kappa Epsilon,Chi,IFC,ΔΚΕ
University of Mississippi,Delta Psi,Phi,IFC,ΔΨ
University of Mississippi,Delta Tau Delta,Pi,IFC,ΔΤΔ
University of Mississippi,Kappa Alpha Order,Alpha Upsilon,IFC,ΚΑ
University of Mississippi,Kappa Sigma,Delta Xi,IFC,ΚΣ
University of Mississippi,Phi Delta Theta,Mississippi Alpha,IFC,ΦΔΘ
University of Mississippi,Phi Kappa Psi,Mississippi Alpha,IFC,ΦΚΨ
University of Mississippi,Phi Kappa Tau,Delta Gamma,IFC,ΦΚΤ
University of Mississippi,Pi Kappa Alpha,Gamma Iota,IFC,ΠΚΑ
University of Mississippi,Pi Kappa Phi,Alpha Lambda,IFC,ΠΚΦ
University of Mississippi,Sigma Alpha Epsilon,Mississippi Gamma,IFC,ΣΑΕ
University of Mississippi,Sigma Chi,Eta,IFC,ΣΧ
University of Mississippi,Sigma Nu,Epsilon Xi,IFC,ΣΝ
University of Mississippi,Sigma Pi,Beta Mu,IFC,ΣΠ
University of Mississippi,"Alpha Kappa Alpha Sorority, Inc.",Theta Psi,NPHC,ΑΚΑ
University of Mississippi,"Alpha Phi Alpha Fraternity, Inc.",Nu Upsilon,NPHC,ΑΦΑ
University of Mississippi,"Delta Sigma Theta Sorority, Inc.",Lambda Sigma,NPHC,ΔΣΘ
University of Mississippi,"Iota Phi Theta Fraternity, Inc.",Theta Iota,NPHC,ΙΦΘ
University of Mississippi,"Kappa Alpha Psi Fraternity, Inc.",Lambda Pi,NPHC,ΚΑΨ
University of Mississippi,"Omega Psi Phi Fraternity, Inc.",Eta Zeta,NPHC,ΩΨΦ
University of Mississippi,"Phi Beta Sigma Fraternity, Inc.",Eta Beta,NPHC,ΦΒΣ
University of Mississippi,"Sigma Gamma Rho Sorority, Inc.",Xi Zeta,NPHC,ΣΓΡ
University of Mississippi,"Zeta Phi Beta Sorority, Inc.",Tau Eta,NPHC,ΖΦΒ
University of Mississippi,Alpha Chi Omega,Lambda Pi,CPH,ΑΧΩ
University of Mississippi,Alpha Delta Pi,Delta Sigma,CPH,ΑΔΠ
University of Mississippi,Alpha Omicron Pi,Nu Beta,CPH,ΑΟΠ
University of Mississippi,Alpha Phi,Iota Omega,CPH,ΑΦ
University of Mississippi,Chi Omega,Tau,CPH,ΧΩ
University of Mississippi,Delta Delta Delta,Chi,CPH,ΔΔΔ
University of Mississippi,Delta Gamma,Alpha Psi,CPH,ΔΓ
University of Mississippi,Kappa Delta,Alpha Mu,CPH,ΚΔ
University of Mississippi,Kappa Kappa Gamma,Delta Rho,CPH,ΚΚΓ
University of Mississippi,Phi Mu,Alpha Delta,CPH,ΦΜ
University of Mississippi,Pi Beta Phi,Mississippi Beta,CPH,ΠΒΦ
Auburn University,Alpha Epsilon Pi,Theta,IFC,ΑΕΠ
Auburn University,Alpha Gamma Rho,Xi,IFC,ΑΓΡ
Auburn University,Alpha Sigma Phi,Zeta Psi,IFC,ΑΣΦ
Auburn University,Alpha Tau Omega,Alpha Epsilon,IFC,ΑΤΩ
Auburn University,Beta Theta Pi,Delta Zeta,IFC,ΒΘΠ
Auburn University,Beta Upsilon Chi,Omega,IFC,ΒΥΧ
Auburn University,Chi Phi,Mu Delta,IFC,ΧΦ
Auburn University,Delta Chi,Auburn,IFC,ΔΧ
Auburn University,Delta Kappa Epsilon,Delta Alpha,IFC,ΔΚΕ
Auburn University,Delta Sigma Phi,Kappa,IFC,ΔΣΦ
Auburn University,Delta Tau Delta,Epsilon Alpha,IFC,ΔΤΔ
Auburn University,FarmHouse,Alpha Zeta,IFC,FH
Auburn University,Kappa Alpha Order,Nu,IFC,ΚΑ
Auburn University,Lambda Chi Alpha,Omega Zeta,IFC,ΛΧΑ
Auburn University,Phi Delta Theta,Alabama Beta,IFC,ΦΔΘ
Auburn University,Phi Gamma Delta,Alpha Epsilon,IFC,ΦΓΔ
Auburn University,Phi Sigma Kappa,Omega Septaton,IFC,ΦΣΚ
Auburn University,Pi Kappa Alpha,Upsilon,IFC,ΠΚΑ
Auburn University,Pi Kappa Phi,Alpha Iota,IFC,ΠΚΦ
Auburn University,Sigma Alpha Epsilon,Alpha Mu,IFC,ΣΑΕ
Auburn University,Sigma Chi,Gamma Sigma,IFC,ΣΧ
Auburn University,Sigma Phi Epsilon,,IFC,ΣΦΕ
Auburn University,Sigma Nu,Beta Theta,IFC,ΣΝ
Auburn University,Sigma Pi,Alpha Delta,IFC,ΣΠ
Auburn University,Sigma Tau Gamma,Epsilon Chi,IFC,ΣΤΓ
Auburn University,Tau Kappa Epsilon,Beta Lambda,IFC,ΤΚΕ
Auburn University,Theta Chi,Chi,IFC,ΘΧ
Auburn University,Theta Xi,Beta Zeta,IFC,ΘΞ
Auburn University,"Alpha Kappa Alpha Sorority, Inc.",Kappa Chi,NPHC,ΑΚΑ
Auburn University,"Delta Sigma Theta Sorority, Inc.",Kappa Upsilon,NPHC,ΔΣΘ
Auburn University,"Kappa Alpha Psi Fraternity, Inc.",Theta Delta,NPHC,ΚΑΨ
Auburn University,"Omega Psi Phi Fraternity, Inc.",Sigma Delta,NPHC,ΩΨΦ
Auburn University,"Phi Beta Sigma Fraternity, Inc.",Kappa Zeta,NPHC,ΦΒΣ
Auburn University,"Sigma Gamma Rho Sorority, Inc.",Omicron Iota,NPHC,ΣΓΡ
Auburn University,"Zeta Phi Beta Sorority, Inc.",Gamma Xi,NPHC,ΖΦΒ
Auburn University,Alpha Chi Omega,Epsilon Zeta,Panhellenic,ΑΧΩ
Auburn University,Alpha Delta Pi,Beta Omega,Panhellenic,ΑΔΠ
Auburn University,Alpha Gamma Delta,Gamma Delta,Panhellenic,ΑΓΔ
Auburn University,Alpha Omicron Pi,Delta Delta,Panhellenic,ΑΟΠ
Auburn University,Alpha Xi Delta,Zeta Xi,Panhellenic,ΑΞΔ
Auburn University,Chi Omega,Alpha Beta,Panhellenic,ΧΩ
Auburn University,Delta Delta Delta,Phi Theta,Panhellenic,ΔΔΔ
Auburn University,Delta Gamma,Delta Sigma,Panhellenic,ΔΓ
Auburn University,Delta Zeta,Beta Xi,Panhellenic,ΔΖ
Auburn University,Gamma Phi Beta,Gamma Phi,Panhellenic,ΓΦΒ
Auburn University,Kappa Alpha Theta,Gamma Omega,Panhellenic,ΚΑΘ
Auburn University,Kappa Delta,Sigma Lambda,Panhellenic,ΚΔ
Auburn University,Kappa Kappa Gamma,Epsilon Eta,Panhellenic,ΚΚΓ
Auburn University,Phi Mu,Alpha Mu,Panhellenic,ΦΜ
Auburn University,Pi Beta Phi,Alabama Gamma,Panhellenic,ΠΒΦ
Auburn University,Sigma Kappa,Theta Xi,Panhellenic,ΣΚ
Auburn University,Sigma Sigma Sigma,Theta Iota,Panhellenic,ΣΣΣ
Auburn University,Zeta Tau Alpha,Gamma Rho,Panhellenic,ΖΤΑ
University of Alabama,Alpha Delta Phi,,IFC,ΑΔΦ
University of Alabama,Alpha Epsilon Pi,,IFC,ΑΕΠ
University of Alabama,Alpha Kappa Lambda,,IFC,ΑΚΛ
University of Alabama,Alpha Sigma Phi,,IFC,ΑΣΦ
University of Alabama,Alpha Tau Omega,,IFC,ΑΤΩ
University of Alabama,Beta Theta Pi,,IFC,ΒΘΠ
University of Alabama,Beta Upsilon Chi,,IFC,ΒΥΧ
University of Alabama,Chi Phi,,IFC,ΧΦ
University of Alabama,Delta Chi,,IFC,ΔΧ
University of Alabama,Delta Kappa Epsilon,,IFC,ΔΚΕ
University of Alabama,Delta Tau Delta,,IFC,ΔΤΔ
University of Alabama,FarmHouse,,IFC,FH
University of Alabama,Kappa Alpha Order,,IFC,ΚΑ
University of Alabama,Kappa Sigma,,IFC,ΚΣ
University of Alabama,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Alabama,Phi Delta Theta,,IFC,ΦΔΘ
University of Alabama,Phi Gamma Delta,,IFC,ΦΓΔ
University of Alabama,Phi Kappa Psi,,IFC,ΦΚΨ
University of Alabama,Phi Kappa Sigma,,IFC,ΦΚΣ
University of Alabama,Phi Kappa Tau,,IFC,ΦΚΤ
University of Alabama,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Alabama,Pi Kappa Phi,,IFC,ΠΚΦ
University of Alabama,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Alabama,Sigma Alpha Mu,,IFC,ΣΑΜ
University of Alabama,Sigma Chi,,IFC,ΣΧ
University of Alabama,Sigma Nu,,IFC,ΣΝ
University of Alabama,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Alabama,Sigma Pi,,IFC,ΣΠ
University of Alabama,Sigma Tau Gamma,,IFC,ΣΤΓ
University of Alabama,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of Alabama,Theta Chi,,IFC,ΘΧ
University of Alabama,Theta Xi,,IFC,ΘΞ
University of Alabama,Zeta Beta Tau,,IFC,ΖΒΤ
University of Alabama,Zeta Psi,,IFC,ΖΨ
University of Alabama,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Alabama,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Alabama,Alpha Gamma Delta,,Panhellenic,ΑΓΔ
University of Alabama,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
University of Alabama,Alpha Phi,,Panhellenic,ΑΦ
University of Alabama,Chi Omega,,Panhellenic,ΧΩ
University of Alabama,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Alabama,Delta Gamma,,Panhellenic,ΔΓ
University of Alabama,Delta Zeta,,Panhellenic,ΔΖ
University of Alabama,Gamma Phi Beta,,Panhellenic,ΓΦΒ
University of Alabama,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Alabama,Kappa Delta,,Panhellenic,ΚΔ
University of Alabama,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Alabama,Phi Mu,,Panhellenic,ΦΜ
