campus_display_name,campus_full_name,organization,nickname,council,greek_letters,chapter_designation,verified,roster_status,is_national_org,source_url,as_of
SF State,San Francisco State University,Nu Alpha Kappa,,MGC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Kappa Alpha Psi,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Alpha Sigma Phi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Phi Kappa Tau,,IFC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Pi Kappa Phi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Kappa Sigma,,IFC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Lambda Theta Phi,,MGC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Alpha Phi Alpha,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Phi Beta Sigma,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Alpha Epsilon Pi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Lambda Phi Epsilon,,MGC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Alpha Gamma Delta,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Phi Sigma Sigma,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Zeta Phi Beta,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Alpha Phi,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Alpha Kappa Alpha,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Sigma Gamma Rho,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Delta Sigma Theta,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
SF State,San Francisco State University,Lambda Sigma Gamma,,MGC,,,true,complete,true,https://www.greekrank.com/uni/400/,2026-08-23
Suffolk,Suffolk University,Sigma Alpha Epsilon,,IFC,,,true,complete,true,https://www.greekrank.com/uni/430/,2026-08-23
Suffolk,Suffolk University,Theta Phi Alpha,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/430/,2026-08-23
Suffolk,Suffolk University,Alpha Sigma Alpha,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/430/,2026-08-23
UVM,University of Vermont,Alpha Gamma Rho,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Pi Kappa Phi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Alpha Epsilon Pi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Pi Kappa Alpha,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Kappa Sigma,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Phi Mu Delta,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Delta Upsilon,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Acacia,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Delta Tau Delta,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Sigma Phi Epsilon,,IFC,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Alpha Delta Pi,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Alpha Chi Omega,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Kappa Delta,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Delta Delta Delta,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Kappa Alpha Theta,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UVM,University of Vermont,Pi Beta Phi,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/358/,2026-08-23
UMass Dartmouth,University of Massachusetts Dartmouth,Theta Delta Chi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/325/,2026-08-23
UMass Dartmouth,University of Massachusetts Dartmouth,Chi Phi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/325/,2026-08-23
UMass Dartmouth,University of Massachusetts Dartmouth,Phi Kappa Theta,,IFC,,,true,complete,true,https://www.greekrank.com/uni/325/,2026-08-23
UMass Dartmouth,University of Massachusetts Dartmouth,Sigma Tau Gamma,,IFC,,,true,complete,true,https://www.greekrank.com/uni/325/,2026-08-23
UMass Dartmouth,University of Massachusetts Dartmouth,Phi Sigma Sigma,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/325/,2026-08-23
UMass Dartmouth,University of Massachusetts Dartmouth,Alpha Sigma Tau,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/325/,2026-08-23
UCCS,University of Colorado Colorado Springs,Alpha Sigma Phi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/694/,2026-08-23
UCCS,University of Colorado Colorado Springs,Pi Kappa Phi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/694/,2026-08-23
UCCS,University of Colorado Colorado Springs,Sigma Alpha Epsilon,,IFC,,,true,complete,true,https://www.greekrank.com/uni/694/,2026-08-23
UCCS,University of Colorado Colorado Springs,Phi Sigma Sigma,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/694/,2026-08-23
UCCS,University of Colorado Colorado Springs,Pi Beta Phi,,Panhellenic,,,true,complete,true,https://www.greekrank.com/uni/694/,2026-08-23
A-State,Arkansas State University,Lambda Chi Alpha,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Pi Kappa Alpha,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Alpha Gamma Rho,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Kappa Sigma,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Sigma Chi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Tau Kappa Epsilon,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Kappa Alpha Order,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Alpha Phi Alpha,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Sigma Pi,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Phi Beta Sigma,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Alpha Tau Omega,,IFC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Kappa Alpha Psi,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
A-State,Arkansas State University,Omega Psi Phi,,NPHC,,,true,complete,true,https://www.greekrank.com/uni/134/,2026-08-23
