campus,chapter,council,candidate_legal_name,candidate_ein,candidate_city,candidate_state,candidate_entity_type,match_score,match_confidence,name_evidence,location_evidence,group_exemption_evidence,designation_evidence,recommended_action,source
University of Alabama,Kappa Kappa Gamma,Panhellenic,EPSILON SIGMA HOUSE CORPORATION OF KAPPA KAPPA GAMMA FATERNITY,541055296,TUSCALOOSA,AL,HOUSE_CORPORATION,73,MEDIUM_CONFIDENCE,"org name ""Kappa Kappa Gamma"" present as a phrase",campus city match (TUSCALOOSA),,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Kappa Gamma,Panhellenic,EPSILON PHI HOUSE CORP OF KAPPA KAPPA GAMMA,592021459,TUSCALOOSA,AL,HOUSE_CORPORATION,73,MEDIUM_CONFIDENCE,"org name ""Kappa Kappa Gamma"" present as a phrase",campus city match (TUSCALOOSA),,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Kappa Gamma,Panhellenic,BETA THETA HOUSE CORPORATION OF KAPPA KAPPA GAMMA FRATERNITY,730738019,TUSCALOOSA,AL,HOUSE_CORPORATION,73,MEDIUM_CONFIDENCE,"org name ""Kappa Kappa Gamma"" present as a phrase",campus city match (TUSCALOOSA),,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Kappa Gamma,Panhellenic,BETA CHI HOUSE CORPORATION OF KAPPA KAPPA GAMMA,820640644,TUSCALOOSA,AL,HOUSE_CORPORATION,73,MEDIUM_CONFIDENCE,"org name ""Kappa Kappa Gamma"" present as a phrase",campus city match (TUSCALOOSA),,,REVIEW,IRS_EO_BMF
University of Florida,Phi Kappa Psi,ifc,PHI KAPPA PSI FLORIDA ALPHA INC,592982321,TALLAHASSEE,FL,UNKNOWN,63,MEDIUM_CONFIDENCE,"org name ""Phi Kappa Psi"" present as a phrase",same state only,,"designation ""Florida Alpha"" present",REVIEW,IRS_EO_BMF
University of Alabama,Kappa Alpha Psi,NPHC,TALLASYLACA CHAPTER OF KAPPA ALPHA PSI FOUNDATION,204144568,SYLACAUGA,AL,EDUCATIONAL_FOUNDATION,48,MEDIUM_CONFIDENCE,"org name ""Kappa Alpha Psi"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Alpha Psi,NPHC,ANNISTON PIEDMONT ALUMNI CHAPTER OF KAPPA ALPHA PSI INC,510196167,ANNISTON,AL,ALUMNI_CORPORATION,48,MEDIUM_CONFIDENCE,"org name ""Kappa Alpha Psi"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Chi Omega,Panhellenic,ALPHA BETA OF CHI OMEGA HOUSE CORPORATION,630832330,AUBURN,AL,HOUSE_CORPORATION,48,MEDIUM_CONFIDENCE,"org name ""Chi Omega"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Alpha Psi,NPHC,BIRMINGHAM ALUMNI CHAPTER KAPPA ALPHA PSI FRATERNITY INC,237279445,BIRMINGHAM,AL,ALUMNI_CORPORATION,48,MEDIUM_CONFIDENCE,"org name ""Kappa Alpha Psi"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Alpha Psi,NPHC,TUSCALOOSA ALIMNI KAPPA ALPHA PSI FOUNDATION,465119094,DEMOPOLIS,AL,EDUCATIONAL_FOUNDATION,48,MEDIUM_CONFIDENCE,"org name ""Kappa Alpha Psi"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Alpha Psi,NPHC,THE NORTHPORT AL ALUMNI CHAPTER OF KAPPA ALPHA PSI FRATERNITY INC,521229199,NORTHPORT,AL,PROPERTY_HOLDING_ENTITY,48,MEDIUM_CONFIDENCE,"org name ""Kappa Alpha Psi"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Alpha Psi,NPHC,KAPPA ALPHA PSI GUIDE RIGHT FOUNDATION OF MONTGOMERY INC,800074492,MONTGOMERY,AL,EDUCATIONAL_FOUNDATION,48,MEDIUM_CONFIDENCE,"org name ""Kappa Alpha Psi"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Kappa Alpha Psi,NPHC,ALABASTER-PELHAM ALUMNI CHAPTER OF KAPPA ALPHA PSI FRATERNITY INC,883099068,PLEASANT GRV,AL,ALUMNI_CORPORATION,48,MEDIUM_CONFIDENCE,"org name ""Kappa Alpha Psi"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
University of Alabama,Delta Gamma,Panhellenic,DELTA GAMMA ALUMNI ASSOCIATION,333007796,HUNTSVILLE,AL,ALUMNI_CORPORATION,48,MEDIUM_CONFIDENCE,"org name ""Delta Gamma"" present as a phrase",same state only,,,REVIEW,IRS_EO_BMF
