ein,legal_name,entity_type,tax_year,form_type,rich_filing_available,total_revenue,total_expenses,total_assets,total_liabilities,net_assets,source
630188910,SIGMA DELTA TAU SOCIETY,UNKNOWN,2025,990N,false,,,,,,PROPUBLICA_API
264795406,PHI THETA CHAPTER HOUSE CORPORATION OF DELTA DELTA DELTA FRATERNITY,HOUSE_CORPORATION,2025,990N,false,,,,,,PROPUBLICA_API
580574897,SIGMA CHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2025,990N,false,,,,,,PROPUBLICA_API
616042959,KAPPA ALPHA ORDER,UNKNOWN,2025,990N,false,,,,,,PROPUBLICA_API
726034315,SIGMA GAMMA RHO SORORITY INC,LOCAL_CHAPTER_ENTITY,2025,990N,false,,,,,,PROPUBLICA_API
430661687,ALPHA EPSILON PI FRATERNITY,LOCAL_CHAPTER_ENTITY,2025,990N,false,,,,,,PROPUBLICA_API
620458346,PI KAPPA ALPHA FRATERNITY,NATIONAL_PARENT,2025,990N,false,,,,,,PROPUBLICA_API
350868356,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,261202,269757,7588,0,7588,PROPUBLICA_API
592339079,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,223651,246293,87119,106932,-19813,PROPUBLICA_API
593282583,PHI DELTA THETA CHAPTER HOUSE ASSOCIATION INC,HOUSE_CORPORATION,2024,990,true,728788,680541,2092922,2386420,-293498,PROPUBLICA_API
630164075,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,358842,321319,37677,7010,30667,PROPUBLICA_API
631053272,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1630881,1656709,5302792,3687146,1615646,PROPUBLICA_API
630893932,PHI MU HOUSE CORPORATION,HOUSE_CORPORATION,2024,990,true,3606077,1963807,19312738,1516133,17796605,PROPUBLICA_API
640723232,KAPPA ALPHA CHAPTER OF PHI MU FRATERNITY HOUSE CORPORATION,HOUSE_CORPORATION,2024,990,true,1819273,1445934,8316536,2800874,5515662,PROPUBLICA_API
636091968,THE NU BETA CHAPTER OF THE CHI OMEGA HOUSE ASSOCIATION INC,HOUSE_CORPORATION,2024,990,true,4059216,2703283,19160094,7474824,11685270,PROPUBLICA_API
636050290,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,786903,727225,628486,298080,330406,PROPUBLICA_API
264170711,UNIVERSITY OF ALABAMA CHAPTER OF SIGMA PI FRATERNITY HOUSING,LOCAL_CHAPTER_ENTITY,2024,990,true,888889,798505,2718575,2277989,440586,PROPUBLICA_API
630164080,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1661300,1605007,907471,874294,33177,PROPUBLICA_API
630188910,SIGMA DELTA TAU SOCIETY,UNKNOWN,2024,990N,false,,,,,,PROPUBLICA_API
936036290,PHI KAPPA PSI FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,566464,644359,27213,29320,-2107,PROPUBLICA_API
237109085,ALPHA PHI ZETA HOUSE CORPORATION OF LAMBDA CHI ALPHA FRATERNITY,HOUSE_CORPORATION,2024,990,true,373380,309693,3434336,2163015,1271321,PROPUBLICA_API
237235595,ALPHA GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1464194,919679,11894528,3910736,7983792,PROPUBLICA_API
320257409,BETA MU HOUSE CORP OF ALPHA PHI INTERNATIONAL FRATERNITY INC,HOUSE_CORPORATION,2024,990,true,3486455,2749210,16894066,8631675,8262391,PROPUBLICA_API
941367157,ALPHA PHI BUILDING CORPORATION,HOUSE_CORPORATION,2024,990,true,1255887,893923,3363533,20100,3343433,PROPUBLICA_API
630007510,ALPHA GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,4105706,4104655,2572465,2810,2569655,PROPUBLICA_API
630056965,DELTA KAPPA EPSILON COUNCIL,UNKNOWN,2024,990,true,1503240,1432286,945812,831801,114011,PROPUBLICA_API
621370853,GAMMA PHI BETA SORORITY,LOCAL_CHAPTER_ENTITY,2024,990,true,693516,558908,413543,0,413543,PROPUBLICA_API
631004292,GAMMA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,2024,990,true,3058555,3045310,13419865,9189949,4229916,PROPUBLICA_API
630980702,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2024,990,true,5396754,3820502,18193996,3306881,14887115,PROPUBLICA_API
630120537,LAMBDA CHI ALPHA FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2024,990,true,1443545,1437635,113014,57162,55852,PROPUBLICA_API
630115520,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2024,990,true,787739,840405,602813,136529,466284,PROPUBLICA_API
630233975,ZETA BETA TAU FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,970930,960414,84695,52660,32035,PROPUBLICA_API
630188870,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,494193,527113,28167,38322,-10155,PROPUBLICA_API
636049922,HOUSE BOARD OF GAMMA PI OF KAPPA KAPPA GAMMA,UNKNOWN,2024,990,true,3280520,2397718,18866804,7533955,11332849,PROPUBLICA_API
631030493,PSI OF DELTA KAPPA EPSILON HOUSE CORPORATION OF UNIVERSITY ALABAMA,HOUSE_CORPORATION,2024,990,true,1386288,534954,5272278,0,5272278,PROPUBLICA_API
380293670,ALPHA DELTA PHI PENINSULAR CHAPTER,PROPERTY_HOLDING_ENTITY,2024,990N,false,,,,,,PROPUBLICA_API
630040605,TAU CHAPTER OF CHI PHI,LOCAL_CHAPTER_ENTITY,2024,990,true,1397402,1687432,780052,749335,30717,PROPUBLICA_API
580596934,PI KAPPA PHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,663370,651855,434867,310951,123916,PROPUBLICA_API
630164600,PI KAPPA PHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1962255,1988205,111738,103353,8385,PROPUBLICA_API
630020370,KAPPA SIGMA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1596195,1607248,235658,140555,95103,PROPUBLICA_API
630289642,KAPPA ALPHA ORDER,UNKNOWN,2024,990,true,2099957,2183010,181256,49580,131676,PROPUBLICA_API
581648136,IOTA ALUMNI OF PI KAPPA PHI INC,ALUMNI_CORPORATION,2024,990,true,134701,119539,660945,0,660945,PROPUBLICA_API
430349090,THE ALPHA KAPPA CHAPTER OF THE KAPPA ALPHA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,379142,216572,896452,42036,854416,PROPUBLICA_API
590641930,GAMMA IOTA CHAPTER OF ALPHA DELTA PI HOUSE CORPORATION,HOUSE_CORPORATION,2024,990,true,1792860,1638256,12473897,9660921,2812976,PROPUBLICA_API
351780304,PI KAPPA PHI INC,UNKNOWN,2024,990,true,926954,781499,1790607,266218,1524389,PROPUBLICA_API
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,2056016,2010130,8229462,3102368,5127094,PROPUBLICA_API
581793975,ZETA IOTA CHAPTER OF ALPHA DELTA PI HOUSE CORPORATION,HOUSE_CORPORATION,2024,990,true,111653,118379,782659,2915,779744,PROPUBLICA_API
474051390,DELTA SIGMA CHAPTER OF ALPHA DELTA PI HOUSE CORPORATION,HOUSE_CORPORATION,2024,990,true,1974080,1450842,9282305,6475993,2806312,PROPUBLICA_API
630457980,BETA THETA PI FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1816367,1975736,411689,87059,324630,PROPUBLICA_API
630056950,DELTA CHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1557887,1565773,132273,36637,95636,PROPUBLICA_API
812173665,BETA RHO CHAPTER OF ALPHA OMEGA EPSILON,LOCAL_CHAPTER_ENTITY,2024,990N,false,,,,,,PROPUBLICA_API
862447294,TAU KAPPA EPSILON FRATERNITY OMICRON-XI CHAPTER INC,LOCAL_CHAPTER_ENTITY,2024,990N,false,,,,,,PROPUBLICA_API
716061509,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,526987,461087,252489,12681,239808,PROPUBLICA_API
812277045,SIGMA PHI EPSILON FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2024,990,true,1264415,1222728,97660,-450,98110,PROPUBLICA_API
631006177,GAMMA ALPHA OF PI KAPPA ALPHA HOUSE CORPORATIONS,UNKNOWN,2024,990,true,480363,431051,4611267,2906872,1704395,PROPUBLICA_API
272795242,DELTA CHI-UNIVERSITY OF ALABAMA CHAPTER HOUSE CORPORATION,HOUSE_CORPORATION,2024,990,true,387990,342068,4164619,3264601,900018,PROPUBLICA_API
630188940,SIGMA NU FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1714663,1606190,1041433,956434,84999,PROPUBLICA_API
710237930,KAPPA SIGMA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,393060,395074,24578,10000,14578,PROPUBLICA_API
472160158,KAPPA ALPHA ORDER,UNKNOWN,2024,990,true,1189692,1045782,265371,0,265371,PROPUBLICA_API
710673722,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2024,990,true,543285,455930,192870,0,192870,PROPUBLICA_API
636066478,GAMMA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,2024,990,true,656053,658959,131606,0,131606,PROPUBLICA_API
636056644,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,1548528,1558235,125891,0,125891,PROPUBLICA_API
636050289,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,627692,581732,299069,96800,202269,PROPUBLICA_API
636050218,ALPHA GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,570681,551337,271400,0,271400,PROPUBLICA_API
581804021,CHI PHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2024,990,true,20007,1750,972018,0,972018,PROPUBLICA_API
630838676,CHI PHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2024,990EZ,true,117005,116519,6843,0,6843,PROPUBLICA_API
630289644,LAMBDA CHI ALPHA FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2024,990,true,1360693,1218112,425639,0,425639,PROPUBLICA_API
630454765,KAPPA ALPHA ORDER,UNKNOWN,2024,990,true,1287964,1263594,50613,0,50613,PROPUBLICA_API
630962722,DELTA CHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2024,990,true,539491,485197,196550,0,196550,PROPUBLICA_API
630837474,AUBURN DELTA CHI ALUMNI CONTROL BOARD INC,PROPERTY_HOLDING_ENTITY,2024,990,true,90935,75400,734767,44975,689792,PROPUBLICA_API
