ein,legal_name,entity_type,entity_type_confidence,city,state,zip,irs_subsection,ntee_code,affiliation_code,group_exemption_number,asset_amt,income_amt,source
273573808,SIGMA GAMMA RHO SORORITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35405-3533,07,,9,1540,,,IRS_EO_BMF
311360149,ZETA CHI CHAPTER OF SIGMA GAMMA RHO SORORITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35405-6737,07,B83,3,,,,IRS_EO_BMF
800761749,SIGMA GAMMA RHO SORORITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35405-6391,07,,9,1540,,,IRS_EO_BMF
350868356,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0164,2930,238046,IRS_EO_BMF
592339079,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0164,2587,195306,IRS_EO_BMF
593282583,PHI DELTA THETA CHAPTER HOUSE ASSOCIATION INC,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-1880,02,,3,,2522667,902549,IRS_EO_BMF
630164075,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0164,41920,391035,IRS_EO_BMF
631053272,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,3,,5237322,1449098,IRS_EO_BMF
510174157,OMEGA PSI PHI FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35404-2635,07,B83,3,,,,IRS_EO_BMF
631057744,ALPHA TAU CHAPTER OMEGA PSI PHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35401-4204,07,N50,3,,,,IRS_EO_BMF
923434277,PHI SIGMA RHO SORORITY - BETA ALPHA CHAPTER,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35487-0001,07,,9,5641,,,IRS_EO_BMF
596135388,CHI OMEGA HOUSING CORPORATION,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-1880,07,,2,,4820032,1178834,IRS_EO_BMF
636091968,THE NU BETA CHAPTER OF THE CHI OMEGA HOUSE ASSOCIATION INC,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-1880,07,,3,,20644492,5100402,IRS_EO_BMF
453236916,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35406-2870,07,,9,0276,,,IRS_EO_BMF
636050290,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0273,575949,938011,IRS_EO_BMF
640392826,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0273,271299,458461,IRS_EO_BMF
264170711,UNIVERSITY OF ALABAMA CHAPTER OF SIGMA PI FRATERNITY HOUSING,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-3117,07,,3,,2685049,1073693,IRS_EO_BMF
371866424,SIGMA PI MISSISSIPPI HOUSE CORPORATION,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-3117,07,B83,3,,390197,1057820,IRS_EO_BMF
630893932,PHI MU HOUSE CORPORATION,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-1880,07,,3,,21249508,4151227,IRS_EO_BMF
640723232,KAPPA ALPHA CHAPTER OF PHI MU FRATERNITY HOUSE CORPORATION,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-3117,07,,3,,8358600,2019866,IRS_EO_BMF
560548249,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0204,39605,800977,IRS_EO_BMF
630164080,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-3117,07,,9,0204,66589,1789378,IRS_EO_BMF
