ein,legal_name,entity_type,person_name,title_as_reported,normalized_title,stakeholder_class,is_officer,is_director,years,latest_filing_year,source
237109085,ALPHA PHI ZETA HOUSE CORPORATION OF LAMBDA CHI ALPHA FRATERNITY,HOUSE_CORPORATION,HARRISON CAMP,SECRETARY,Secretary,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
237109085,ALPHA PHI ZETA HOUSE CORPORATION OF LAMBDA CHI ALPHA FRATERNITY,HOUSE_CORPORATION,WILLIAM CAMP,VICE PRESIDE,VICE PRESIDE,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
237109085,ALPHA PHI ZETA HOUSE CORPORATION OF LAMBDA CHI ALPHA FRATERNITY,HOUSE_CORPORATION,WAYNE KEITH,PRESIDENT,President,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
237109085,ALPHA PHI ZETA HOUSE CORPORATION OF LAMBDA CHI ALPHA FRATERNITY,HOUSE_CORPORATION,BRIAN MOORE,TREASURER,Treasurer,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,BEN HOLLIS,PRESIDENT,President,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,WAYNE INGRAM,CFO,Treasurer,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,COLE ARMAGOST,SOCIAL,SOCIAL,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,ROBBY BARNES,CHAPLAIN,CHAPLAIN,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,COVINGTON BYARS,USHER,USHER,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,JC CARR,HOUSE MANAGE,HOUSE MANAGE,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,JACOB DONOIAN,VICE PRESIDE,VICE PRESIDE,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,NICO HENASTROZA,SECRETARY,Secretary,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,BRANDON KIRKLAND,RUSH CHAIR,Chair,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,MASON MULANIX,HISTORIAN,HISTORIAN,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,MICHAEL SAIN,TREASURER,Treasurer,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630007530,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,NICK SMITH,RISK MANAGEM,RISK MANAGEM,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630818055,ALABAMA BETA OF PI BETA PHI HOUSE ASSOCIATION INCORPORATED,HOUSE_CORPORATION,CARRIE THOMAS,PRESIDENT,President,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630818055,ALABAMA BETA OF PI BETA PHI HOUSE ASSOCIATION INCORPORATED,HOUSE_CORPORATION,ERIN FREEMAN,TREASURER,Treasurer,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
630818055,ALABAMA BETA OF PI BETA PHI HOUSE ASSOCIATION INCORPORATED,HOUSE_CORPORATION,TANA LATHAM,SECRETARY,Secretary,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
710245516,SIGMA CHI FRATERNITY,LOCAL_CHAPTER_ENTITY,HARRISON FRANK,TREASURER,Treasurer,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
710245516,SIGMA CHI FRATERNITY,LOCAL_CHAPTER_ENTITY,PRESTON BARBER,PRESIDENT,President,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
237114376,ARKANSAS PI BETA PHI HOUSE ASSOC,UNKNOWN,CATHY GESSLER ALLEN,DIRECTOR,Director,UNKNOWN,false,true,2022,2022,IRS_990_XML
237114376,ARKANSAS PI BETA PHI HOUSE ASSOC,UNKNOWN,RACHEL HOPE ARNOLD,DIRECTOR,Director,UNKNOWN,false,true,2022,2022,IRS_990_XML
237114376,ARKANSAS PI BETA PHI HOUSE ASSOC,UNKNOWN,KIM ROBERTSON BENNETT,DIRECTOR,Director,UNKNOWN,false,true,2022,2022,IRS_990_XML
237114376,ARKANSAS PI BETA PHI HOUSE ASSOC,UNKNOWN,LAUREN KIMBROUGH,PRESIDENT,President,UNKNOWN,true,true,2022,2022,IRS_990_XML
237114376,ARKANSAS PI BETA PHI HOUSE ASSOC,UNKNOWN,JENESSA BAILEY,TREASURER,Treasurer,UNKNOWN,true,false,2022,2022,IRS_990_XML
710243898,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,GAVIN SMART,TREASURER,Treasurer,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
710243898,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,JACK MCGAHEE,PRESIDENT,President,UNDERGRAD_CHAPTER_LEADERSHIP,true,false,2022,2022,IRS_990_XML
636056644,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,JOHN GIVENS,PRESIDENT,President,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
636056644,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,MASON BELCHER,TREASURER,Treasurer,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
636056644,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,CAMPBELL GARBER,RECORDING SECRETARY,Secretary,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
636056644,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,HARRISON HALL,CORRESPONDING SEC.,CORRESPONDING SEC.,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
636056644,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,JAMES TEEL,HISTORIAN,HISTORIAN,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
237091513,ALABAMA GAMMA OF PI BETA PHI HOUSE ASSOCIATION INCORPORATED,HOUSE_CORPORATION,DRU WASHBURN,TREASURER,Treasurer,HOUSE_CORPORATION_LEADERSHIP,true,false,2022,2022,IRS_990_XML
237091513,ALABAMA GAMMA OF PI BETA PHI HOUSE ASSOCIATION INCORPORATED,HOUSE_CORPORATION,CATHY DILLION,ALUMNI ADVISORY COUNCIL,ALUMNI ADVISORY COUNCIL,HOUSE_CORPORATION_LEADERSHIP,false,false,2022,2022,IRS_990_XML
591755953,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,DAVID SASSER,PRESIDENT,President,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
591755953,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,CORBIN EMERSON,TREASURER,Treasurer,UNDERGRAD_CHAPTER_LEADERSHIP,true,true,2022,2022,IRS_990_XML
591755953,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,JOE HICE,DIRECTOR,Director,UNDERGRAD_CHAPTER_LEADERSHIP,false,true,2022,2022,IRS_990_XML
