chapter_id,campus,chapter,council,legal_entity_status,legal_entity_count,local_entity_count,local_entity_found,house_corporation_found,foundation_found,national_parent_found,alumni_corp_found,latest_990_year,officer_count_latest_filing,director_count_latest_filing,latest_reported_president,latest_reported_treasurer,latest_revenue,latest_expenses,latest_assets,latest_liabilities,alumni_governance_strength,data_confidence
43ace145-d6e8-411a-9cdd-6ab04d24760c,University of Georgia,Chi Psi,IFC,ENTITY_MATCHED,5,4,true,false,true,true,false,2023,2,4,,John Binder,110474,55214,35426,0,MODERATE,HIGH
4a1fd814-301a-4e6f-bf5b-c0c7faa4302a,University of Alabama,Sigma Gamma Rho,NPHC,ENTITY_MATCHED,4,3,true,false,false,true,false,2023,0,0,,,13810784,14676025,5801135,4995240,LIGHT,HIGH
4b611d36-66ff-4fad-9028-1949c9379cc6,University of Alabama,Phi Delta Theta,IFC,ENTITY_MATCHED,6,5,true,true,false,true,false,2024,0,0,,,261202,269757,7588,0,MODERATE,HIGH
5850984b-e51e-47bb-97b6-f5a341811d6d,University of Alabama,Kappa Alpha Psi,NPHC,NEEDS_REVIEW,1,0,false,false,false,true,false,2016,0,0,,,5407230,4580050,6573534,491114,LIGHT,NATIONAL_ONLY
5979d5f4-2a86-4691-966b-55a65b8cce0b,University of Alabama,Sigma Alpha Mu,IFC,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,1830393,2158081,7985659,3927195,LIGHT,NATIONAL_ONLY
5f077000-273d-4178-9227-40370f869fca,University of Alabama,Alpha Kappa Psi,mgc,NOT_RUN,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
d2afa2e2-0e7d-489a-8f3b-b6ac38c6d1c5,University of Alabama,Omega Psi Phi,NPHC,ENTITY_MATCHED,3,2,true,false,false,true,false,2022,0,0,,,14895796,9895558,17720990,1151714,LIGHT,HIGH
e4840d06-3b5c-4319-994c-6607a458e25c,University of Alabama,Phi Sigma Rho,MGC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,606354,573393,552349,4873,LIGHT,HIGH
f1f61609-5e43-4606-bd46-d0cb939ebb4b,University of Alabama,Zeta Tau Alpha,Panhellenic,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,8374719,10057415,36753113,13449328,LIGHT,NATIONAL_ONLY
f728d824-09d2-4a81-8cab-e93b4a4eb5ef,University of Alabama,Delta Gamma,Panhellenic,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,0,0,,,6798067,7007656,19676752,1853098,LIGHT,NATIONAL_ONLY
