campus,chapter,council,legal_entity_status
University of Alabama,Alpha Kappa Psi,mgc,NOT_RUN
University of Alabama,Delta Sigma Pi,mgc,NOT_RUN
University of Alabama,Phi Mu Alpha Sinfonia,mgc,NO_ENTITY_FOUND
University of Alabama,Phi Sigma Pi,mgc,NO_ENTITY_FOUND
University of Alabama,Phi Beta Sigma,NPHC,NEEDS_REVIEW
University of Alabama,Iota Phi Theta,NPHC,NO_ENTITY_FOUND
University of Alabama,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
University of Alabama,FarmHouse,IFC,NOT_RUN
University of Alabama,Alpha Kappa Lambda,IFC,NEEDS_REVIEW
University of Arkansas,FarmHouse,IFC,NOT_RUN
University of Arkansas,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
University of Arkansas,Alpha Phi Alpha,NPHC,NO_ENTITY_FOUND
Auburn University,Phi Beta Sigma,NPHC,NEEDS_REVIEW
University of Mississippi,Alpha Phi Alpha,NPHC,NEEDS_REVIEW
University of Mississippi,Phi Beta Sigma,NPHC,NO_ENTITY_FOUND
University of Mississippi,Delta Psi,IFC,NO_ENTITY_FOUND
University of Florida,Sigma Lambda Beta,MGC,NO_ENTITY_FOUND
University of Florida,Phi Beta Sigma,NPHC,NEEDS_REVIEW
University of Florida,Lambda Delta Psi,MGC,NO_ENTITY_FOUND
University of Florida,Alpha Phi Alpha,NPHC,NEEDS_REVIEW
University of Florida,Delta Phi Omega,MGC,NO_ENTITY_FOUND
University of Florida,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
Auburn University,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
Auburn University,FarmHouse,IFC,NOT_RUN
University of Arkansas,Omega Delta Phi,MGC,NO_ENTITY_FOUND
University of Arkansas,Sigma Lambda Gamma,MGC,NO_ENTITY_FOUND
University of Arkansas,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND
Louisiana State University,Acacia,IFC,NOT_RUN
University of Arkansas,Phi Beta Sigma,NPHC,NO_ENTITY_FOUND
University of Kentucky,Delta Phi Lambda,MGC,NO_ENTITY_FOUND
University of Georgia,Pi Kappa Psi,MGC,NO_ENTITY_FOUND
University of Kentucky,Sigma Lambda Beta,MGC,NO_ENTITY_FOUND
University of Georgia,Sigma Sigma Rho,MGC,CANDIDATES_FOUND
University of Kentucky,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND
University of Georgia,Xi Kappa,MGC,NO_ENTITY_FOUND
University of Georgia,Lambda Upsilon Lambda,MGC,NO_ENTITY_FOUND
University of Kentucky,Iota Phi Theta,NPHC,NO_ENTITY_FOUND
University of Georgia,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
University of Kentucky,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
University of Georgia,Delta Phi Lambda,MGC,NEEDS_REVIEW
University of Georgia,Kappa Phi Gamma,MGC,NO_ENTITY_FOUND
University of Kentucky,Beta Upsilon Chi,IFC,NO_ENTITY_FOUND
University of Missouri,Lambda Theta Phi,MGC,NO_ENTITY_FOUND
