campus_id,campus,state,city,status,review_reason,best_ipeds_suggestion
320df0e0-467f-4021-b4b2-bad6ebe6023c,San Mateo County Community College District,CA,San Mateo,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,San Mateo County Community College District Office (122782) j=0.857
fac8654a-c50c-44a5-b4ea-5284bd05781c,Houston Community College System,TX,Houston,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,Houston Community College (225423) j=0.75
886d349f-0854-4dae-b0db-5f688ef3e019,University of Minnesota System,MN,Minneapolis,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,University of Minnesota-Crookston (174075) j=0.5
428db652-223c-4948-8d92-c4a54f892cc6,North Dakota University System,ND,Bismarck,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,University of North Dakota (200280) j=0.75
6e179806-21bf-4b96-a8d9-7a8bcec707ac,California State University System,CA,Long Beach,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,California State University-Bakersfield (110486) j=0.6
560c850f-2de1-4c7f-8a7e-44090e1fb8b6,San Diego Community College District,CA,San Diego,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,San Diego Community College District-District Office (122320) j=0.833
e8e5c9b1-d627-4ad7-ac67-562ecc070aa1,Los Angeles Community College District,CA,Los Angeles,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,Los Angeles Community College District Office (117681) j=0.833
f497a9a5-b7d8-45b0-aaf4-b43f591fe152,Coast Community College District,CA,Costa Mesa,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,Coast Community College District Office (112376) j=0.8
34bd6a90-a7d5-4711-84b0-046d898c13bb,Dallas County Community College District,TX,Dallas,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,Collin County Community College District (247834) j=0.667
1648f3ab-850d-43ed-9a45-ab19b080e692,University of Hawaii System,HI,Honolulu,NEEDS_IDENTITY_REVIEW,aggregate_system_or_district,University of Hawaii System Office (141963) j=0.75
d4eed22f-40df-4fd0-ace4-373c1e3e3c35,Arkansas State University Technical Center,AR,Jonesboro,NEEDS_IDENTITY_REVIEW,high_conf_suggestion_verify,Arkansas State University (106458) j=0.6
d063f907-ff46-46d2-bd8f-3091a9fdf510,Lindenwood University Belleville,IL,Belleville,NEEDS_IDENTITY_REVIEW,low_conf_or_renamed,Adler University (142832) j=0.25
dfbd0173-afb7-4baa-9ca3-e88699517e45,Alamo Colleges,TX,San Antonio,NEEDS_IDENTITY_REVIEW,low_conf_or_renamed,Alamo City Barber College (482981) j=0.2
4467ec8d-e660-46df-a418-15e9ee1846b7,Thunderbird Sch Global Mgt,AZ,Glendale,NEEDS_IDENTITY_REVIEW,no_candidate,
9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_221759,"University of Tennessee | University of Tennessee, Knoxville"
feab5578-893a-48c1-88c4-f4dc7616ac79,Indiana University Bloomington,IN,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_151351,Indiana University | Indiana University Bloomington
28a1f84d-2dcf-4376-a654-79b5af45fbac,San Diego State University San,CA,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_122409,San Diego State University San | San Diego State University
02a82fbc-c702-4940-aa81-aedf19bf0140,University of Iowa Iowa,IA,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_153658,University of Iowa Iowa | University of Iowa
faad6039-be72-4f5c-8ad5-ca7b95e2889f,University of Texas at Austin,TX,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_228778,University of Texas at Austin | The University of Texas at Austin
1f5cee7a-6b22-413a-bcc7-9c9235f26a75,University of Miami Coral,FL,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_135726,University of Miami | University of Miami Coral
d7abb1b4-197e-4556-88fd-b2fc800951a9,Binghamton University,NY,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_196079,SUNYat Binghamton | Binghamton University
1cc90976-6fa5-4b05-9db0-1893f95c0e05,Grand Valley State Univ Grand,MI,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_170082,Grand Valley State Univ Grand | Grand Valley State University Allendal
13864a8e-31cc-45e2-a81d-5e54f623ab35,Univ No Carolina Greensboro,NC,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_199148,Univ No Carolina Greensboro | University of North Carolina at Greensboro
32dca893-1ddb-4ed6-a702-65258c2e8176,New York University New,NY,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_193900,New York University New | New York University
4f988627-0f47-4341-abbc-4e48f4fc87d1,Miami Dade College,FL,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_135717,Miami Dade College | Miami Dade College Virtual Campu
5f5bd18d-b92f-4d56-aced-23bce4c983d5,University of South Carolina,SC,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_218645,Univ So Carolina at Aiken | University of South Carolina
971f9332-c7d9-4467-8e5f-40171e863e35,Univ of Colorado at Denver,CO,,DUPLICATE_UNITID,multiple_campus_rows_share_unitid_127060,Univ of Colorado at Denver | University of Denver
