rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
1,Morehouse College,GA,140553,44.1,40.5,97.9,RAPID_GROWTH,8.4,150,+74.4%,0,2738,5,NPHC,360,150 business grads/year (2024) • Business completions +74% over 5Y • 5 social Greek chapters • Business-heavy (37% of bachelor's),Backlog
2,Southern Utah University Cedar,UT,230603,72.8,63.4,96.4,RAPID_GROWTH,PENDING,265,+79.0%,104,13043,NOT_RUN,,636,"265 business grads/year (2024) • Business completions +79% over 5Y • Large undergrad population (13,043) • 104 accounting grads/year",Enrich structural data
3,Lander University,SC,218229,64,51.1,96.1,RAPID_GROWTH,PENDING,213,+60.2%,0,3669,NOT_RUN,,511,213 business grads/year (2024) • Business completions +60% over 5Y • Business-heavy (29% of bachelor's),Backlog
4,Fayetteville State Univ,NC,198543,69.5,58.9,95.9,RAPID_GROWTH,PENDING,234,+74.6%,48,5845,NOT_RUN,,562,234 business grads/year (2024) • Business completions +75% over 5Y,Enrich structural data
5,Louisiana State University Alexandria,LA,159382,66.7,55,95.8,RAPID_GROWTH,PENDING,160,+100.0%,86,5330,NOT_RUN,,384,160 business grads/year (2024) • Business completions +100% over 5Y • 86 accounting grads/year,Enrich structural data
6,Clemson University,SC,217882,89.5,90.1,95.7,RAPID_GROWTH,83.5,1447,+54.3%,163,22875,48,IFC+MGC+NPHC+PANHELLENIC,3473,"1,447 business grads/year (2024) • Business completions +54% over 5Y • 48 social Greek chapters • Large undergrad population (22,875) • 163 accounting grads/year",Greek council enrichment
7,Univ of California San Diego La,CA,110680,69.4,59.3,94.6,RAPID_GROWTH,PENDING,429,+114.5%,0,33792,NOT_RUN,,1030,"429 business grads/year (2024) • Business completions +115% over 5Y • Large undergrad population (33,792)",Enrich structural data
8,Indiana University Kokomo,IN,151333,52.6,35.9,94.2,RAPID_GROWTH,PENDING,117,+77.3%,0,2674,NOT_RUN,,281,117 business grads/year (2024) • Business completions +77% over 5Y,Backlog
9,Fairfield University,CT,129242,79.3,73.6,93.7,RAPID_GROWTH,PENDING,482,+34.3%,80,4968,NOT_RUN,,1157,482 business grads/year (2024) • Business completions +34% over 5Y • 80 accounting grads/year • Business-heavy (46% of bachelor's),Enrich structural data
10,Murray State University,KY,157401,69.8,60.3,93.5,RAPID_GROWTH,PENDING,262,+44.0%,85,7878,NOT_RUN,,629,262 business grads/year (2024) • Business completions +44% over 5Y • 85 accounting grads/year,Enrich structural data
11,"University of Tennessee, Knoxville",TN,221759,91.3,92.7,92.4,RAPID_GROWTH,87.5,1713,+39.4%,144,28883,51,IFC+MGC+NPHC+PANHELLENIC,4111,"1,713 business grads/year (2024) • Business completions +39% over 5Y • 51 social Greek chapters • Large undergrad population (28,883) • 144 accounting grads/year",Greek council enrichment
12,Norfolk State University,VA,232937,53.7,38.2,92.4,RAPID_GROWTH,PENDING,118,+68.6%,13,5510,NOT_RUN,,283,118 business grads/year (2024) • Business completions +69% over 5Y,Backlog
13,San Diego State University,CA,122409,84.7,84.5,91.9,RAPID_GROWTH,79.5,2332,+32.8%,0,34050,46,IFC+MGC+NPHC+PANHELLENIC,5597,"2,332 business grads/year (2024) • Business completions +33% over 5Y • 46 social Greek chapters • Large undergrad population (34,050) • Business-heavy (27% of bachelor's)",Greek council enrichment
14,Appalachian State Univ,NC,197869,88.7,87.6,91.3,RAPID_GROWTH,PENDING,1065,+35.3%,99,19405,NOT_RUN,,2556,"1,065 business grads/year (2024) • Business completions +35% over 5Y • Large undergrad population (19,405) • 99 accounting grads/year",Enrich structural data
15,Montana State University,MT,180461,54.8,53.4,91,RAPID_GROWTH,28.5,389,+45.7%,0,14872,10,IFC+PANHELLENIC,934,"389 business grads/year (2024) • Business completions +46% over 5Y • 10 social Greek chapters • IFC + PANHELLENIC contacts verified • Large undergrad population (14,872)",Council outreach
16,Texas Christian University Fort,TX,228875,84.3,81.7,90.7,RAPID_GROWTH,PENDING,701,+34.0%,68,10937,NOT_RUN,,1682,701 business grads/year (2024) • Business completions +34% over 5Y • 68 accounting grads/year • Business-heavy (28% of bachelor's),Enrich structural data
17,Indiana University Bloomington,IN,151351,91.9,89,90.6,RAPID_GROWTH,98.7,2444,+20.4%,0,36833,68,IFC+MGC+NPHC+PANHELLENIC,5866,"2,444 business grads/year (2024) • Business completions +20% over 5Y • 68 social Greek chapters • Large undergrad population (36,833) • Business-heavy (33% of bachelor's)",Greek council enrichment
18,Trinity University San,TX,229267,60.4,48.3,90.5,RAPID_GROWTH,PENDING,155,+36.0%,37,2531,NOT_RUN,,372,155 business grads/year (2024) • Business completions +36% over 5Y • Business-heavy (26% of bachelor's),Backlog
19,Florida A&M University,FL,133650,57.7,44.6,90.5,RAPID_GROWTH,PENDING,166,+64.4%,24,7796,NOT_RUN,,398,166 business grads/year (2024) • Business completions +64% over 5Y,Backlog
20,University of Wisconsin–Madison,WI,240444,88.3,86.6,89.7,RAPID_GROWTH,90.6,1414,+38.6%,108,36797,54,,3394,"1,414 business grads/year (2024) • Business completions +39% over 5Y • 54 social Greek chapters • Large undergrad population (36,797) • 108 accounting grads/year",Greek council enrichment
21,University of The Cumberlands,KY,156541,67,58.1,89.4,RAPID_GROWTH,PENDING,247,+157.3%,61,6091,NOT_RUN,,593,247 business grads/year (2024) • Business completions +157% over 5Y • 61 accounting grads/year,Enrich structural data
