rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
1,University of Alabama,AL,100751,87.5,96.1,61.1,GROWING,91.5,1924,-1.4%,238,33435,71,IFC+MGC+NPHC+PANHELLENIC,4618,"1,924 business grads/year (2024) • Business completions -1% over 5Y • 71 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (33,435)",Council outreach
2,University of Georgia,GA,139959,88.5,95.3,79.2,GROWING,82.5,2331,+19.6%,156,31514,67,IFC+MGC+NPHC+PANHELLENIC,5594,"2,331 business grads/year (2024) • Business completions +20% over 5Y • 67 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (31,514)",Council outreach
3,CUNY-Baruch College New,NY,190512,79.5,95,40.7,STABLE,PENDING,2497,-13.9%,513,16086,NOT_RUN,,5993,"2,497 business grads/year (2024) • Business completions -14% over 5Y • Large undergrad population (16,086) • 513 accounting grads/year • Business-heavy (72% of bachelor's)",Enrich structural data
4,"University of Tennessee, Knoxville",TN,221759,91.3,92.7,92.4,RAPID_GROWTH,87.5,1713,+39.4%,144,28883,51,IFC+MGC+NPHC+PANHELLENIC,4111,"1,713 business grads/year (2024) • Business completions +39% over 5Y • 51 social Greek chapters • Large undergrad population (28,883) • 144 accounting grads/year",Greek council enrichment
5,Auburn University,AL,100858,91.7,92.3,86.9,RAPID_GROWTH,94.4,1526,+28.3%,156,26874,55,IFC+NPHC+PANHELLENIC,3662,"1,526 business grads/year (2024) • Business completions +28% over 5Y • 55 social Greek chapters • Large undergrad population (26,874) • 156 accounting grads/year",Greek council enrichment
6,University of Houston,TX,225511,80.5,92.1,64.9,GROWING,69.6,2279,+5.5%,275,37946,34,IFC+MGC+NPHC+PANHELLENIC,5470,"2,279 business grads/year (2024) • Business completions +6% over 5Y • 34 social Greek chapters • Large undergrad population (37,946) • 275 accounting grads/year",Greek council enrichment
7,University of Arkansas,AR,106397,85.8,91.4,77.3,GROWING,81.3,1475,+10.1%,142,27472,47,IFC+MGC+NPHC+PANHELLENIC,3540,"1,475 business grads/year (2024) • Business completions +10% over 5Y • 47 social Greek chapters • Large undergrad population (27,472) • 142 accounting grads/year",Greek council enrichment
8,Florida International University,FL,133951,76.6,91.1,48.9,STABLE,69.6,2726,-2.3%,165,44363,34,IFC+MGC+NPHC+PANHELLENIC,6542,"2,726 business grads/year (2024) • Business completions -2% over 5Y • 34 social Greek chapters • Large undergrad population (44,363) • 165 accounting grads/year",Greek council enrichment
9,Virginia Poly Inst & St Un,VA,233921,88.4,90.9,82.3,GROWING,PENDING,1723,+23.4%,128,30504,NOT_RUN,,4135,"1,723 business grads/year (2024) • Business completions +23% over 5Y • Large undergrad population (30,504) • 128 accounting grads/year",Enrich structural data
10,Liberty University,VA,232557,84.4,90.4,69.5,GROWING,PENDING,1962,+5.7%,198,52823,NOT_RUN,,4709,"1,962 business grads/year (2024) • Business completions +6% over 5Y • Large undergrad population (52,823) • 198 accounting grads/year",Enrich structural data
