rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
1,Auburn University,AL,100858,92,92.6,87.1,RAPID_GROWTH,94.8,1526,+28.3%,156,26874,56,IFC+NPHC+PANHELLENIC,3662,"1,526 business grads/year (2024) • Business completions +28% over 5Y • 56 social Greek chapters • Large undergrad population (26,874) • 156 accounting grads/year",Greek council enrichment
2,Clemson University,SC,217882,90.9,91.8,95.8,RAPID_GROWTH,85.2,1447,+54.3%,163,22875,57,IFC+MGC+NPHC+PANHELLENIC,3473,"1,447 business grads/year (2024) • Business completions +54% over 5Y • 57 social Greek chapters • Large undergrad population (22,875) • 163 accounting grads/year",Greek council enrichment
3,University of Wisconsin–Madison,WI,240444,90.1,87.7,90,RAPID_GROWTH,94.8,1414,+38.6%,108,36797,60,MGC+PANHELLENIC,3394,"1,414 business grads/year (2024) • Business completions +39% over 5Y • 60 social Greek chapters • Large undergrad population (36,797) • 108 accounting grads/year",Greek council enrichment
4,Indiana University Bloomington,IN,151351,89.6,89.3,90.8,RAPID_GROWTH,89.2,2444,+20.4%,0,36833,68,IFC+MGC+NPHC+PANHELLENIC,5866,"2,444 business grads/year (2024) • Business completions +20% over 5Y • 68 social Greek chapters • Large undergrad population (36,833) • Business-heavy (33% of bachelor's)",Greek council enrichment
5,University of Georgia,GA,139959,88.9,95.7,79.6,GROWING,82.7,2331,+19.6%,156,31514,67,IFC+MGC+NPHC+PANHELLENIC,5594,"2,331 business grads/year (2024) • Business completions +20% over 5Y • 67 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (31,514)",Council outreach
6,University of Alabama,AL,100751,87.7,96.3,61.3,GROWING,91.5,1924,-1.4%,238,33435,71,IFC+MGC+NPHC+PANHELLENIC,4618,"1,924 business grads/year (2024) • Business completions -1% over 5Y • 71 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (33,435)",Council outreach
7,"University of Tennessee, Knoxville",TN,221759,86.3,94,92.6,RAPID_GROWTH,66,1713,+39.4%,144,28883,59,IFC+MGC+NPHC+PANHELLENIC,4111,"1,713 business grads/year (2024) • Business completions +39% over 5Y • 59 social Greek chapters • Large undergrad population (28,883) • 144 accounting grads/year",Greek council enrichment
8,University of Texas at Austin,TX,228778,84.7,84.6,66.4,GROWING,99.7,1220,+4.0%,143,42444,71,IFC+MGC+NPHC+PANHELLENIC,2928,"1,220 business grads/year (2024) • Business completions +4% over 5Y • 71 social Greek chapters • Large undergrad population (42,444) • 143 accounting grads/year",Greek council enrichment
9,University of Delaware,DE,130943,82.4,85,75.9,GROWING,82.5,914,+7.1%,74,19772,53,IFC+MGC+NPHC+PANHELLENIC,2194,"914 business grads/year (2024) • Business completions +7% over 5Y • 53 social Greek chapters • Large undergrad population (19,772) • 74 accounting grads/year",Greek council enrichment
10,University of Kentucky,KY,157085,82.3,89.2,86.4,RAPID_GROWTH,65.2,1109,+19.8%,152,23930,57,IFC+MGC+NPHC+PANHELLENIC,2662,"1,109 business grads/year (2024) • Business completions +20% over 5Y • 57 social Greek chapters • Large undergrad population (23,930) • 152 accounting grads/year",Greek council enrichment
11,North Carolina State University,NC,199193,81.7,84.1,84.5,RAPID_GROWTH,74.7,1157,+26.6%,145,27323,34,IFC+MGC+PANHELLENIC,2777,"1,157 business grads/year (2024) • Business completions +27% over 5Y • 34 social Greek chapters • Large undergrad population (27,323) • 145 accounting grads/year",Greek council enrichment
12,San Diego State University,CA,122409,80.9,86.1,92.1,RAPID_GROWTH,61.4,2332,+32.8%,0,34050,51,IFC+MGC+NPHC+PANHELLENIC,5597,"2,332 business grads/year (2024) • Business completions +33% over 5Y • 51 social Greek chapters • Large undergrad population (34,050) • Business-heavy (27% of bachelor's)",Greek council enrichment
13,University of Arkansas,AR,106397,80.7,92.3,77.5,GROWING,60.1,1475,+10.1%,142,27472,49,IFC+MGC+NPHC+PANHELLENIC,3540,"1,475 business grads/year (2024) • Business completions +10% over 5Y • 49 social Greek chapters • Large undergrad population (27,472) • 142 accounting grads/year",Greek council enrichment
14,University of Houston - Downtown,TX,225432,80.6,87.9,85.5,RAPID_GROWTH,62.2,1057,+20.0%,240,12880,36,,2537,"1,057 business grads/year (2024) • Business completions +20% over 5Y • 36 social Greek chapters • Council contacts verified • Large undergrad population (12,880)",Council outreach
15,Florida Atlantic University,FL,133669,79.3,87.3,75.3,GROWING,66.6,1389,+11.6%,205,24614,27,IFC+MGC+NPHC+PANHELLENIC,3334,"1,389 business grads/year (2024) • Business completions +12% over 5Y • 27 social Greek chapters • Large undergrad population (24,614) • 205 accounting grads/year",Greek council enrichment
16,University of Mississippi,MS,176017,79,88.1,54.3,STABLE,80.5,1058,-13.4%,217,19094,37,IFC+NPHC+PANHELLENIC,2539,"1,058 business grads/year (2024) • Business completions -13% over 5Y • 37 social Greek chapters • Large undergrad population (19,094) • 217 accounting grads/year",Greek council enrichment
17,University of Florida,FL,134130,78.9,85.3,76.4,GROWING,68.1,1284,+8.2%,145,34924,63,IFC+MGC+NPHC+PANHELLENIC,3082,"1,284 business grads/year (2024) • Business completions +8% over 5Y • 63 social Greek chapters • Large undergrad population (34,924) • 145 accounting grads/year",Greek council enrichment
18,University of Iowa,IA,153658,78,86.4,71.4,GROWING,66.6,1199,+9.2%,146,22130,27,IFC+MGC+PANHELLENIC,2878,"1,199 business grads/year (2024) • Business completions +9% over 5Y • 27 social Greek chapters • Large undergrad population (22,130) • 146 accounting grads/year",Greek council enrichment
19,University of South Florida,FL,137351,77.7,87.5,79.1,GROWING,57.1,1704,+28.5%,253,37269,39,IFC+MGC+NPHC+PANHELLENIC,4090,"1,704 business grads/year (2024) • Business completions +29% over 5Y • 39 social Greek chapters • Large undergrad population (37,269) • 253 accounting grads/year",Greek council enrichment
20,University of Houston,TX,225511,77.3,93.6,64.6,GROWING,54.7,2279,+5.5%,275,37946,34,IFC+MGC+NPHC+PANHELLENIC,5470,"2,279 business grads/year (2024) • Business completions +6% over 5Y • 34 social Greek chapters • Large undergrad population (37,946) • 275 accounting grads/year",Greek council enrichment
21,Purdue University-Main Campus,IN,243780,77,83.1,70.9,GROWING,69.7,1062,+5.3%,166,39864,61,,2549,"1,062 business grads/year (2024) • Business completions +5% over 5Y • 61 social Greek chapters • Council contacts verified • Large undergrad population (39,864)",Council outreach
22,University of North Texas,TX,227216,77,88.9,71.4,GROWING,57.8,1495,+5.3%,222,33858,40,IFC+MGC+NPHC+PANHELLENIC,3588,"1,495 business grads/year (2024) • Business completions +5% over 5Y • 40 social Greek chapters • Large undergrad population (33,858) • 222 accounting grads/year",Greek council enrichment
23,Kennesaw State University,GA,486840,76.6,85.1,63.5,GROWING,70.1,1112,+5.6%,187,40509,29,IFC+NPHC+PANHELLENIC,2669,"1,112 business grads/year (2024) • Business completions +6% over 5Y • 29 social Greek chapters • Large undergrad population (40,509) • 187 accounting grads/year",Greek council enrichment
24,Mississippi State University,MS,176080,76.4,82.3,84.2,RAPID_GROWTH,58.4,849,+36.7%,110,18230,43,IFC+MGC+NPHC+PANHELLENIC,2038,"849 business grads/year (2024) • Business completions +37% over 5Y • 43 social Greek chapters • Large undergrad population (18,230) • 110 accounting grads/year",Greek council enrichment
25,University of Cincinnati-Main Campus,OH,201885,76.2,87.6,75,GROWING,54.5,1248,+12.8%,92,31184,50,IFC+MGC,2995,"1,248 business grads/year (2024) • Business completions +13% over 5Y • 50 social Greek chapters • IFC + MGC contacts verified • Large undergrad population (31,184)",Council outreach
26,Texas Tech University,TX,229115,75.7,86,87.6,RAPID_GROWTH,45.5,1440,+35.1%,163,32635,26,IFC+MGC+NPHC+PANHELLENIC,3456,"1,440 business grads/year (2024) • Business completions +35% over 5Y • 26 social Greek chapters • Large undergrad population (32,635) • 163 accounting grads/year",Greek council enrichment
27,University of Miami,FL,135726,75.6,77.1,72.8,GROWING,74.7,611,+10.9%,46,12883,34,IFC+MGC+NPHC+PANHELLENIC,1466,"611 business grads/year (2024) • Business completions +11% over 5Y • 34 social Greek chapters • Large undergrad population (12,883)",Greek council enrichment
28,California State University-Fullerton,CA,110565,75.4,84.5,52.8,STABLE,PENDING,2254,-7.5%,0,37125,NOT_RUN,,5410,"2,254 business grads/year (2024) • Business completions -8% over 5Y • Large undergrad population (37,125)",Enrich structural data
29,University of Arizona,AZ,104179,75.2,85.2,66.4,GROWING,62.2,1159,-4.3%,139,41899,52,IFC+MGC+PANHELLENIC,2782,"1,159 business grads/year (2024) • Business completions -4% over 5Y • 52 social Greek chapters • Large undergrad population (41,899) • 139 accounting grads/year",Greek council enrichment
30,"University of Nevada, Las Vegas",NV,182281,73.8,86,47.1,STABLE,70.9,1068,-10.0%,176,25794,29,IFC+MGC+NPHC+PANHELLENIC,2563,"1,068 business grads/year (2024) • Business completions -10% over 5Y • 29 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (25,794)",Council outreach
