campus_name,slug,short_display_name,aliases,is_sec,course_code_intro_1,color_c1_hex,color_c2_hex,notes
Indiana University Bloomington,indiana-university-bloomington,Indiana,IU;Indiana University,False,BUS-A 201,#990000,#FFFFFF,Verified 2026-08-19
Pennsylvania State University,pennsylvania-state-university,Penn State,PSU;Penn St,False,ACCTG 211,#001E44,#FFFFFF,Verified 2026-08-19
Clemson University,clemson-university,Clemson,,False,ACCT 2010,#F56600,#522D80,Verified 2026-08-19
Texas Tech University,texas-tech-university,Texas Tech,TTU,False,ACCT 2300,#E90802,#000000,Verified 2026-08-19
University of Arizona,university-of-arizona,Arizona,U of A,False,ACCT 200,#AB0520,#FFFFFF,Colors adjusted for bolt contrast on navy
Arizona State University,arizona-state-university,Arizona State,ASU,False,ACC 231,#8C1D40,#FFC627,Verified 2026-08-19
North Carolina State University,north-carolina-state-university,NC State,NCSU,False,ACC 210,#CC0000,#FFFFFF,Verified 2026-08-19
University of Colorado Boulder,university-of-colorado-boulder,Colorado,CU Boulder,False,BCOR 2203,#CFB87C,#000000,Verified 2026-08-19
Southern Methodist University,southern-methodist-university,SMU,,False,ACCT 2301,#CC0035,#FFFFFF,Colors adjusted for bolt contrast on navy
Syracuse University,syracuse-university,Syracuse,,False,ACC 151,#F76900,#000E54,Verified 2026-08-19
University of Iowa,university-of-iowa,Iowa,,False,ACCT:2100,#FFCD00,#000000,Verified 2026-08-19
University of Miami,university-of-miami,Miami,Miami FL,False,ACC 211,#F47321,#005030,Verified 2026-08-19
University of Minnesota,university-of-minnesota,Minnesota,UMN,False,ACCT 2051,#7A0019,#FFCC33,Verified 2026-08-19
University of Southern California,university-of-southern-california,USC,Southern Cal,False,BUAD 280,#990000,#FFCC00,Verified 2026-08-19
University of Louisville,university-of-louisville,Louisville,UofL,False,ACCT 201,#AD0000,#FFFFFF,Colors adjusted for bolt contrast on navy
University of Houston,university-of-houston,Houston,UH,False,ACCT 2301,#C8102E,#FFFFFF,Verified 2026-08-19
Oregon State University,oregon-state-university,Oregon State,,False,BA 211Z,#D73F09,#000000,Verified 2026-08-19; current catalog uses BA 211Z (renumbered from BA 211).
