org_name,slug,greek_letters,abbrev,type,council
Acacia,acacia,Acacia,Acacia,fraternity,IFC
Alpha Delta Phi,alpha-delta-phi,ΑΔΦ,ADPhi,fraternity,IFC
Alpha Epsilon Pi,alpha-epsilon-pi,ΑΕΠ,AEPi,fraternity,IFC
Alpha Gamma Rho,alpha-gamma-rho,ΑΓΡ,AGR,fraternity,IFC
Alpha Sigma Phi,alpha-sigma-phi,ΑΣΦ,Alpha Sig,fraternity,IFC
Alpha Tau Omega,alpha-tau-omega,ΑΤΩ,ATO,fraternity,IFC
Beta Theta Pi,beta-theta-pi,ΒΘΠ,Beta,fraternity,IFC
Chi Phi,chi-phi,ΧΦ,Chi Phi,fraternity,IFC
Chi Psi,chi-psi,ΧΨ,Chi Psi,fraternity,IFC
Delta Chi,delta-chi,ΔΧ,Delta Chi,fraternity,IFC
Delta Kappa Epsilon,delta-kappa-epsilon,ΔΚΕ,DKE,fraternity,IFC
Delta Sigma Phi,delta-sigma-phi,ΔΣΦ,Delta Sig,fraternity,IFC
Delta Tau Delta,delta-tau-delta,ΔΤΔ,Delt,fraternity,IFC
Delta Upsilon,delta-upsilon,ΔΥ,DU,fraternity,IFC
FarmHouse,farmhouse,FarmHouse,FarmHouse,fraternity,IFC
Kappa Alpha Order,kappa-alpha-order,ΚΑ,KA,fraternity,IFC
Kappa Delta Rho,kappa-delta-rho,ΚΔΡ,KDR,fraternity,IFC
Kappa Sigma,kappa-sigma,ΚΣ,Kappa Sig,fraternity,IFC
Lambda Chi Alpha,lambda-chi-alpha,ΛΧΑ,Lambda Chi,fraternity,IFC
Phi Delta Theta,phi-delta-theta,ΦΔΘ,Phi Delt,fraternity,IFC
Phi Gamma Delta,phi-gamma-delta,ΦΓΔ,FIJI,fraternity,IFC
Phi Kappa Psi,phi-kappa-psi,ΦΚΨ,Phi Psi,fraternity,IFC
Phi Kappa Sigma,phi-kappa-sigma,ΦΚΣ,Skulls,fraternity,IFC
Phi Kappa Tau,phi-kappa-tau,ΦΚΤ,Phi Tau,fraternity,IFC
Phi Kappa Theta,phi-kappa-theta,ΦΚΘ,Phi Kap,fraternity,IFC
Phi Sigma Kappa,phi-sigma-kappa,ΦΣΚ,Phi Sig,fraternity,IFC
Pi Kappa Alpha,pi-kappa-alpha,ΠΚΑ,Pike,fraternity,IFC
Pi Kappa Phi,pi-kappa-phi,ΠΚΦ,Pi Kapp,fraternity,IFC
Pi Lambda Phi,pi-lambda-phi,ΠΛΦ,Pilam,fraternity,IFC
Psi Upsilon,psi-upsilon,ΨΥ,Psi U,fraternity,IFC
Sigma Alpha Epsilon,sigma-alpha-epsilon,ΣΑΕ,SAE,fraternity,IFC
Sigma Alpha Mu,sigma-alpha-mu,ΣΑΜ,Sammy,fraternity,IFC
Sigma Chi,sigma-chi,ΣΧ,Sigma Chi,fraternity,IFC
Sigma Nu,sigma-nu,ΣΝ,Sigma Nu,fraternity,IFC
Sigma Phi Epsilon,sigma-phi-epsilon,ΣΦΕ,SigEp,fraternity,IFC
Sigma Pi,sigma-pi,ΣΠ,Sigma Pi,fraternity,IFC
Sigma Tau Gamma,sigma-tau-gamma,ΣΤΓ,Sig Tau,fraternity,IFC
Tau Kappa Epsilon,tau-kappa-epsilon,ΤΚΕ,TKE,fraternity,IFC
Theta Chi,theta-chi,ΘΧ,Theta Chi,fraternity,IFC
Theta Xi,theta-xi,ΘΞ,Theta Xi,fraternity,IFC
Triangle,triangle,Triangle,Triangle,fraternity,IFC
Zeta Beta Tau,zeta-beta-tau,ΖΒΤ,ZBT,fraternity,IFC
Zeta Psi,zeta-psi,ΖΨ,Zete,fraternity,IFC
Alpha Chi Omega,alpha-chi-omega,ΑΧΩ,AChiO,sorority,Panhellenic
Alpha Delta Pi,alpha-delta-pi,ΑΔΠ,ADPi,sorority,Panhellenic
Alpha Epsilon Phi,alpha-epsilon-phi,ΑΕΦ,AEPhi,sorority,Panhellenic
Alpha Gamma Delta,alpha-gamma-delta,ΑΓΔ,Alpha Gam,sorority,Panhellenic
Alpha Omicron Pi,alpha-omicron-pi,ΑΟΠ,AOPi,sorority,Panhellenic
Alpha Phi,alpha-phi,ΑΦ,A Phi,sorority,Panhellenic
Alpha Sigma Alpha,alpha-sigma-alpha,ΑΣΑ,ASA,sorority,Panhellenic
Alpha Sigma Tau,alpha-sigma-tau,ΑΣΤ,AST,sorority,Panhellenic
Alpha Xi Delta,alpha-xi-delta,ΑΞΔ,AZD,sorority,Panhellenic
Chi Omega,chi-omega,ΧΩ,Chi O,sorority,Panhellenic
Delta Delta Delta,delta-delta-delta,ΔΔΔ,Tri Delta,sorority,Panhellenic
Delta Gamma,delta-gamma,ΔΓ,DG,sorority,Panhellenic
Delta Phi Epsilon,delta-phi-epsilon,ΔΦΕ,DPhiE,sorority,Panhellenic
Delta Zeta,delta-zeta,ΔΖ,DZ,sorority,Panhellenic
Gamma Phi Beta,gamma-phi-beta,ΓΦΒ,Gamma Phi,sorority,Panhellenic
Kappa Alpha Theta,kappa-alpha-theta,ΚΑΘ,Theta,sorority,Panhellenic
